feature,p_value,u_stat,cohens_d,cohens_d_raw,mean_diff,ad_mean,control_mean,direction,p_adj
K00003,0.0011878029613755533,1580.0,0.64269499207164,0.64269499207164,0.20645489037907527,5.364315465961355,5.15786057558228,up,0.007004308942640595
K00012,0.007820012505729959,1501.0,0.40959977943128684,0.40959977943128684,0.14598909702543228,4.949305146720743,4.803316049695311,up,0.023803973252395593
K00016,0.03911651114568102,1420.0,0.35526418148596517,0.35526418148596517,0.1263626276876879,4.905787111787814,4.779424484100126,up,0.07901415077814215
K00031,0.020296073387287956,1455.0,0.5973053207911854,0.5973053207911854,0.09520877108905701,5.193539629559954,5.098330858470897,up,0.047744788021974356
K00048,0.0011278366902231435,1582.0,0.5168646955931139,0.5168646955931139,0.2097919384165472,4.854110016763839,4.6443180783472915,up,0.00686622799834923
K00052,0.0016139135276838994,1568.0,0.42972671146114333,0.42972671146114333,0.15482503312184281,5.007524739315139,4.852699706193296,up,0.00835549720041074
K00053,0.04200321566744913,1416.0,0.4488615683557667,0.4488615683557667,0.0779168070974956,5.489596569078698,5.411679761981202,up,0.08356161664553041
K00057,0.0028457834832734865,1545.0,0.5087376101442855,0.5087376101442855,0.17695135616687452,5.165842952261309,4.988891596094435,up,0.0121895937475721
K00058,0.04748883211082754,1409.0,0.3208522446479351,0.3208522446479351,0.14763747970325092,4.590789508508459,4.443152028805208,up,0.09129797401423717
K00059,0.01767280274862166,1462.0,0.4764271932427242,0.4764271932427242,0.118888132529551,5.859913547498463,5.741025414968912,up,0.04343875815782707
K00067,0.0002577994328329844,1636.0,0.7421972105091905,0.7421972105091905,0.2614661126602771,5.077080287634778,4.815614174974501,up,0.003138946797920134
K00075,0.006268018613311424,1511.0,0.38946816183899524,0.38946816183899524,0.1004428224314351,5.355169124882153,5.254726302450718,up,0.020814253728546776
K00077,0.08469982486753858,1374.0,0.35591980340740026,0.35591980340740026,0.08426158172287668,5.301133243697708,5.216871661974832,up,0.1471337776761073
K00088,6.5121862161638755e-06,1752.0,0.8830274104346073,0.8830274104346073,0.20242400238585034,5.3710780023989,5.16865400001305,up,0.0014272541457092493
K00096,0.015985713501418104,1467.0,0.5456802139588304,0.5456802139588304,0.21245913343778433,4.443866229521502,4.231407096083718,up,0.040503301068140284
K00099,0.003611444720982482,1535.0,0.5825667118537758,0.5825667118537758,0.12316616505781663,5.320972813174788,5.197806648116972,up,0.014050443219206994
K00133,0.003785423694634064,1533.0,0.28681668074118494,0.28681668074118494,0.08264575371548588,5.257570974501622,5.174925220786136,up,0.014470442321057538
K00134,0.004060701463528237,1530.0,0.5607237050473491,0.5607237050473491,0.11657952459454979,5.3943403641819865,5.277760839587437,up,0.01512697570691114
K00145,0.0005493617336653793,1609.0,0.7184361699104523,0.7184361699104523,0.1328249806156645,5.4050511298081245,5.27222614919246,up,0.00460134190936289
K00147,0.0002364670819657711,1639.0,0.5762021032448397,0.5762021032448397,0.2593820454263467,4.935161412327273,4.675779366900926,up,0.0029614686931903715
K00174,0.585607391330863,1214.0,0.03388236323450654,-0.03388236323450654,-0.023567919098201884,4.240882915579982,4.2644508346781835,down,0.6673096981020155
K00175,0.6961752147494252,1193.0,0.045178099567819804,-0.045178099567819804,-0.03615274387609624,4.016642365795254,4.05279510967135,down,0.7603574812254935
K00215,0.009707816320665126,1491.0,0.5630346075839675,0.5630346075839675,0.10369294162748055,5.362933123440995,5.259240181813515,up,0.028056655959724484
K00243,0.00019867593544510684,1645.0,0.8708747533129231,0.8708747533129231,0.2693066957426433,4.973468108924114,4.70416141318147,up,0.0028258087845800914
K00249,0.02510493603849428,1444.0,0.5784432044108473,0.5784432044108473,0.27539341598708944,4.688913689562566,4.413520273575476,up,0.05529814219534335
K00262,1.2478663362949381e-05,1733.0,0.842817001619702,0.842817001619702,0.1736898683644199,5.461288615628272,5.287598747263852,up,0.0016409442322278436
K00266,0.0013858276650424817,1574.0,0.5047497727491356,0.5047497727491356,0.17603248077536904,5.5265178974418,5.350485416666431,up,0.007656988989625477
K00286,8.089753384230276e-05,1675.0,0.7584287084975045,0.7584287084975045,0.2175566147818513,5.282440374725705,5.064883759943854,up,0.0023640057111695137
K00287,0.001784653121254149,1564.0,0.5521655142580104,0.5521655142580104,0.10272522595195888,5.226363822048748,5.123638596096789,up,0.008855920205468703
K00290,0.013580078009279626,1475.0,0.5784654345161934,0.5784654345161934,0.17759735527028564,4.84351438018553,4.665917024915244,up,0.03607636885293476
K00297,0.013580078009279626,1475.0,0.48669237948095256,0.48669237948095256,0.1305596876834496,5.146199608552851,5.015639920869401,up,0.03607636885293476
K00384,0.0008910672785896151,1591.0,0.5595615207876176,0.5595615207876176,0.19819518985126905,5.28545020876808,5.087255018916811,up,0.006134834928509653
K00425,0.6745150126805266,1082.0,0.12969522659798077,-0.12969522659798077,-0.0885469275097952,3.7396704357558503,3.8282173632656455,down,0.742870386662389
K00426,0.7908264291084358,1176.0,0.1067235421161775,-0.1067235421161775,-0.08288372264459554,3.6844660384480448,3.7673497610926403,down,0.83933555631767
K00459,0.02069728943010345,1454.0,0.49842901957573604,0.49842901957573604,0.1715905471579715,5.494005926889347,5.322415379731376,up,0.048515036721187225
K00528,0.0030582661645809656,1542.0,0.580267523223227,0.580267523223227,0.16873473827604624,5.011737654522263,4.843002916246217,up,0.012848626218606931
K00548,0.003875239145369697,1532.0,0.5389114484107651,0.5389114484107651,0.1464334354347745,5.123725037044914,4.97729160161014,up,0.014559827074746148
K00549,0.3307830311305391,1272.0,0.3632202342869279,0.3632202342869279,0.09732912331681831,5.297951568479503,5.200622445162685,up,0.4315274662070029
K00554,0.0860382584306389,1373.0,0.33368079086308344,0.33368079086308344,0.05202593893871921,5.4468496750603626,5.394823736121643,up,0.1490649668462321
K00558,0.06441515401499434,1391.0,0.37848571927377067,0.37848571927377067,0.09999352840509879,5.995074611089939,5.8950810826848405,up,0.11732122926553679
K00560,0.1615537110612313,1330.0,0.28343837351302775,0.28343837351302775,0.04138973331107021,5.230778193867819,5.189388460556748,up,0.2464537471525744
K00566,0.07222114784108914,1384.0,0.3228076106376862,0.3228076106376862,0.11619040332840047,5.007570812499767,4.891380409171367,up,0.12938802372075237
K00567,0.007005508501929239,1506.0,0.3985193993369902,0.3985193993369902,0.1651332234600842,4.742985126015067,4.577851902554983,up,0.022038860478557295
K00571,0.6907360373398129,1194.0,0.061781271654838044,0.061781271654838044,0.023391298881430878,4.947764146006202,4.924372847124771,up,0.7575628766487523
K00600,0.9588681540345622,1147.0,0.02281587613737761,0.02281587613737761,0.002940791656451225,5.594350721529147,5.591409929872696,up,0.9714265196883276
K00602,3.845640915624217e-06,1767.0,0.9922474214732643,0.9922474214732643,0.17277806355124437,5.56593040802838,5.393152344477135,up,0.0010857265442721998
K00604,0.00336408412650825,1538.0,0.3991368954467273,0.3991368954467273,0.11818591688054525,5.2192246312283554,5.10103871434781,up,0.0135698485471115
K00609,1.2064419580102241e-05,1734.0,0.9195212258552814,0.9195212258552814,0.2171266124543676,5.3538925133928945,5.136765900938527,up,0.0016409442322278436
K00610,0.0014958701709081766,1571.0,0.5737197914317141,0.5737197914317141,0.10168778375683463,5.084725370321969,4.983037586565135,up,0.008061759322722345
K00611,0.05829117236196044,1397.0,0.37415882543253653,0.37415882543253653,0.12578125852368327,5.294124635274692,5.168343376751008,up,0.1082667961242627
K00615,0.010130838778996596,1489.0,0.4791312811869253,0.4791312811869253,0.13140490139484928,6.348334672909678,6.216929771514828,up,0.029151100644158694
K00616,0.22131456708414765,1306.0,0.20079939979164127,0.20079939979164127,0.08467865108827244,4.95026547886329,4.865586827775018,up,0.31496607761434436
K00620,0.052658852193250644,1403.0,0.4691991926388515,0.4691991926388515,0.12415160279506932,5.305187448841145,5.1810358460460755,up,0.09963509443758935
K00626,0.07339704944640317,1383.0,0.3273211431617604,0.3273211431617604,0.14475072688026902,4.519762557724695,4.375011830844426,up,0.13113739133426652
K00640,0.0013166667534653344,1576.0,0.6890271321879542,0.6890271321879542,0.10827529928268831,5.658290983040062,5.5500156837573735,up,0.007399217011995362
