feature,p_value,u_stat,cohens_d,cohens_d_raw,mean_diff,ad_mean,control_mean,direction,p_adj
K00602,3.845640915624217e-06,1767.0,0.9922474214732643,0.9922474214732643,0.17277806355124437,5.56593040802838,5.393152344477135,up,0.0010857265442721998
K00609,1.2064419580102241e-05,1734.0,0.9195212258552814,0.9195212258552814,0.2171266124543676,5.3538925133928945,5.136765900938527,up,0.0016409442322278436
K00088,6.5121862161638755e-06,1752.0,0.8830274104346073,0.8830274104346073,0.20242400238585034,5.3710780023989,5.16865400001305,up,0.0014272541457092493
K00243,0.00019867593544510684,1645.0,0.8708747533129231,0.8708747533129231,0.2693066957426433,4.973468108924114,4.70416141318147,up,0.0028258087845800914
K03734,0.00010018165411013952,1668.0,0.8645601030138662,0.8645601030138662,0.1191292775772963,5.73277703921797,5.6136477616406735,up,0.0026085816800690124
K01704,3.144281793075988e-05,1705.0,0.8593778746323831,0.8593778746323831,0.17919900620088391,5.4218735620669385,5.242674555866055,up,0.0020334559729452265
K00762,0.00012008858282937398,1662.0,0.8512084885829971,0.8512084885829971,0.11927332940321911,5.465272247147628,5.345998917744409,up,0.002676550617298759
K00262,1.2478663362949381e-05,1733.0,0.842817001619702,0.842817001619702,0.1736898683644199,5.461288615628272,5.287598747263852,up,0.0016409442322278436
K17828,8.089753384230276e-05,1675.0,0.8408470768320229,0.8408470768320229,0.23774799992557138,5.190205455840419,4.952457455914848,up,0.0023640057111695137
K00764,6.721583152165681e-05,1681.0,0.83199035397254,0.83199035397254,0.15341037150203718,5.8034116972879035,5.650001325785866,up,0.002266379960281505
K03324,0.0005060003917408402,1612.0,0.8315583687295008,0.8315583687295008,0.1314154285205822,5.997571438249937,5.866156009729355,up,0.004526466089382346
K00784,4.1282378109209114e-06,1765.0,0.8301856796200903,0.8301856796200903,0.2250334894117243,5.384162609010524,5.159129119598799,up,0.0010857265442721998
K01465,4.195387214423924e-05,1696.0,0.8275063410244757,0.8275063410244757,0.2981035233043654,5.156011999925375,4.857908476621009,up,0.002206773674786984
K02837,0.00015705789190388777,1653.0,0.8220680851290063,0.8220680851290063,0.2003144485627173,5.147814072332714,4.947499623769997,up,0.0028258087845800914
K01933,0.00045313716412090523,1616.0,0.8178600048428013,0.8178600048428013,0.1375931235621275,5.456760170190512,5.319167046628385,up,0.004317937469702829
K03310,0.00015247492226156293,1654.0,0.7945913277707711,0.7945913277707711,0.2856927224951873,6.137879340614325,5.852186618119138,up,0.0028258087845800914
K03152,2.8534196257261752e-05,1708.0,0.7931504601954454,0.7931504601954454,0.19864714639648273,5.21683388464257,5.018186738246087,up,0.0020334559729452265
K01956,1.476172340208126e-05,1728.0,0.783454007639519,0.783454007639519,0.24627346187513055,5.18607648586626,4.9398030239911295,up,0.0017294616238210329
