Species 层级生物标志物列表
==================================================

1. Blautia_wexlerae
2. Holdemania_sp_1001095H_141210_F2
3. Clostridiales_bacterium
4. Mediterraneibacter_SGB48424
5. GGB3433_SGB4573
6. Prevotella_copri_clade_A
7. Bacteroides_finegoldii
8. Enterocloster_bolteae
9. Lacrimispora_saccharolytica
10. Holdemanella_biformis
11. Clostridium_sp_OM07_10AC
12. Bacteroides_cellulosilyticus
13. GGB9412_SGB14770
14. Ruminococcus_lactaris
15. Bifidobacterium_dentium
16. Bacteroides_ovatus
17. Clostridium_SGB6179
18. Streptococcus_vestibularis
19. Lachnoclostridium_sp_An138
20. Phascolarctobacterium_faecium
21. GGB9491_SGB14888
22. GGB3491_SGB4665
23. Blautia_hydrogenotrophica
24. Streptococcus_mutans
25. Streptococcus_anginosus
26. Phocaeicola_dorei
27. GGB9524_SGB14924
28. Ellagibacter_isourolithinifaciens
29. Alistipes_indistinctus
30. Alistipes_finegoldii
31. Enterocloster_aldenensis
32. Flavonifractor_plautii
33. Enterocloster_citroniae
34. GGB9715_SGB15265
35. GGB3653_SGB4964
36. GGB2653_SGB3574
37. Clostridium_butyricum
38. GGB9627_SGB15081
39. Streptococcus_parasanguinis
40. Blautia_sp_MSK_20_85
41. GGB4604_SGB6370
42. Faecalitalea_cylindroides
43. GGB9765_SGB15382
44. Gordonibacter_urolithinfaciens
45. GGB9189_SGB14128
46. GGB9291_SGB14248
47. GGB33512_SGB15201
48. Neglectibacter_timonensis
49. GGB4566_SGB6305
50. GGB3538_SGB4728
51. GGB4569_SGB6310
52. Bacteroides_thetaiotaomicron
53. GGB33586_SGB53517
54. Intestinibacter_bartlettii
55. GGB4659_SGB6447
56. Senegalimassilia_SGB14826
57. GGB9636_SGB15108
58. Clostridium_SGB6173
59. GGB9240_SGB14182
60. GGB9635_SGB15103
61. Ruminococcus_sp_NSJ_13
62. Veillonella_dispar
63. Barnesiella_intestinihominis
64. Leuconostoc_mesenteroides
65. Escherichia_coli
66. Candidatus_Geddesella_stercoravicola
67. GGB3256_SGB4303
68. Clostridium_sp_AF34_10BH
69. Anaerotruncus_massiliensis
70. GGB3677_SGB4990
71. GGB9590_SGB15012
72. Anaerobutyricum_soehngenii
73. Clostridium_sp_AM49_4BH
74. Faecalibacillus_intestinalis
75. Alistipes_onderdonkii
76. GGB4689_SGB6487
77. Clostridium_SGB4909
78. Gemmiger_formicilis
79. GGB9712_SGB15244
80. Clostridium_sp_AT4
81. Clostridia_bacterium_UC5_1_1D1
82. GGB36267_SGB14177
83. Eubacterium_sp_AF16_48
84. GGB2652_SGB3573
85. Roseburia_sp_AF02_12
86. GGB9719_SGB53514
87. GGB9634_SGB15095
88. GGB4604_SGB6371
89. Erysipelatoclostridium_ramosum
90. Bifidobacterium_catenulatum
91. GGB9758_SGB15368
92. Blautia_sp_Marseille_P3087
93. Eubacterium_ramulus
94. Oscillospiraceae_bacterium_Marseille_Q3528
95. Sutterella_wadsworthensis
96. Dysosmobacter_welbionis
97. Ruminococcus_sp_BSD2780120874_150323_B10
98. GGB2982_SGB3964
99. Holdemanella_porci
100. Alistipes_putredinis
101. Negativibacillus_massiliensis
102. GGB52130_SGB14966
