feature,coefficient,abs_coefficient
s__GGB9412_SGB14770,-0.2307764970098305,0.2307764970098305
s__Clostridium_SGB6179,-0.18729081033893538,0.18729081033893538
s__Bacteroides_cellulosilyticus,-0.17310742262055556,0.17310742262055556
s__GGB3433_SGB4573,0.17175136121008475,0.17175136121008475
s__Intestinibacter_bartlettii,-0.14905613710200546,0.14905613710200546
s__GGB9715_SGB15265,0.14415269129461952,0.14415269129461952
s__Phascolarctobacterium_faecium,-0.1351237495993881,0.1351237495993881
s__Ruminococcus_lactaris,-0.11595297490438097,0.11595297490438097
s__GGB3491_SGB4665,-0.11307172760980834,0.11307172760980834
s__Lachnospiraceae_bacterium_AM48_27BH,-0.11167321650287365,0.11167321650287365
s__Clostridiales_bacterium,0.10213883689571954,0.10213883689571954
s__Bacteroides_finegoldii,0.09936936135865537,0.09936936135865537
s__GGB9636_SGB15107,0.0992287515048417,0.0992287515048417
s__Faecalitalea_cylindroides,-0.09519224353174396,0.09519224353174396
s__Bacteroides_ovatus,0.09054626072732519,0.09054626072732519
s__Phocaeicola_dorei,-0.08848255630296321,0.08848255630296321
s__Mediterraneibacter_SGB48424,0.08659994114687883,0.08659994114687883
s__Prevotella_copri_clade_A,0.0840846054124338,0.0840846054124338
s__GGB3653_SGB4964,-0.08119466607061605,0.08119466607061605
s__Alistipes_finegoldii,-0.08091223176929409,0.08091223176929409
s__Holdemania_sp_1001095H_141210_F2,0.0789456830507372,0.0789456830507372
s__Alistipes_indistinctus,-0.07052777268596949,0.07052777268596949
s__Blautia_wexlerae,0.06692875532550445,0.06692875532550445
s__GGB4604_SGB6370,-0.0632154608964593,0.0632154608964593
s__Clostridium_SGB4909,-0.06280945358560797,0.06280945358560797
s__GGB9627_SGB15081,0.062102414565782554,0.062102414565782554
s__GGB2653_SGB3574,-0.06138999654888366,0.06138999654888366
s__Mediterraneibacter_butyricigenes,-0.060440384486215096,0.060440384486215096
s__Holdemanella_biformis,0.05618989730143979,0.05618989730143979
s__GGB4569_SGB6310,-0.05430130272655703,0.05430130272655703
s__GGB9712_SGB15244,0.05305777156511799,0.05305777156511799
s__Blautia_sp_MSK_20_85,0.04901968768628685,0.04901968768628685
s__Eubacteriaceae_bacterium,-0.04668181879167447,0.04668181879167447
s__GGB9765_SGB15382,-0.039280413362882086,0.039280413362882086
s__GGB9240_SGB14182,-0.03815358464133751,0.03815358464133751
s__GGB3619_SGB4894,-0.03698952568375472,0.03698952568375472
s__Eubacterium_sp_AF16_48,0.034294043923766365,0.034294043923766365
s__GGB3256_SGB4303,-0.03415949872781866,0.03415949872781866
s__Dysosmobacter_sp_BX15,0.034037732634349366,0.034037732634349366
s__GGB4604_SGB6371,-0.0338712825094793,0.0338712825094793
s__Neglectibacter_timonensis,-0.0313490193666662,0.0313490193666662
s__Gemmiger_formicilis,-0.030112946950713804,0.030112946950713804
s__Candidatus_Geddesella_stercoravicola,-0.02685722186313769,0.02685722186313769
s__Barnesiella_intestinihominis,-0.02539340136331122,0.02539340136331122
s__Bacteroides_thetaiotaomicron,-0.025284390506320163,0.025284390506320163
s__Streptococcus_parasanguinis,0.025260383258726024,0.025260383258726024
s__GGB9291_SGB14248,0.024870182764790492,0.024870182764790492
s__Roseburia_sp_AF02_12,-0.02459379685552907,0.02459379685552907
s__Enterocloster_bolteae,0.024161671088370813,0.024161671088370813
s__Escherichia_coli,-0.022897007247282743,0.022897007247282743
s__Clostridium_SGB6173,-0.021407568712243148,0.021407568712243148
s__GGB4566_SGB6305,-0.020001693224939204,0.020001693224939204
s__Alistipes_onderdonkii,-0.017685902353315082,0.017685902353315082
s__Clostridium_sp_AM49_4BH,0.017368441170958725,0.017368441170958725
s__Clostridium_sp_AF34_10BH,0.010845809523416879,0.010845809523416879
s__Ruminococcus_sp_NSJ_13,0.008234366362335037,0.008234366362335037
s__Faecalibacillus_intestinalis,-0.006868440863835495,0.006868440863835495
s__Lacrimispora_saccharolytica,0.005072295674306495,0.005072295674306495
s__Clostridium_sp_OM07_10AC,0.0003248044330585002,0.0003248044330585002
s__Anaerobutyricum_soehngenii,2.1501354876371744e-05,2.1501354876371744e-05
