feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
s__Blautia_wexlerae,4,3.5008661390577767,1.0,0.9939879759519038,0.6271186440677966,0.8797595190380761,1,1,1,1
s__Holdemania_sp_1001095H_141210_F2,4,3.461883989355397,0.9591836734693877,0.9739478957915831,0.6610169491525424,0.8677354709418837,1,1,1,1
s__Clostridiales_bacterium,4,3.362633950016949,0.8367346938775511,0.9458917835671343,0.8305084745762712,0.7494989979959921,1,1,1,1
s__Mediterraneibacter_SGB48424,4,3.237954289762507,0.6734693877551021,0.9298597194388778,0.728813559322034,0.905811623246493,1,1,1,1
s__GGB3433_SGB4573,4,3.1059150469739203,0.4693877551020408,0.9318637274549099,0.9491525423728814,0.7555110220440882,1,1,1,1
s__Prevotella_copri_clade_A,4,2.826174659939041,0.44897959183673475,0.8677354709418837,0.711864406779661,0.7975951903807615,1,1,1,1
s__Bacteroides_finegoldii,4,2.696549792771292,0.7346938775510203,0.9959919839679359,0.8135593220338984,0.15230460921843691,1,1,1,1
s__Enterocloster_bolteae,4,2.6548059799987387,0.8571428571428572,0.7134268537074149,0.18644067796610164,0.8977955911823647,1,1,1,1
s__Lacrimispora_saccharolytica,4,2.478583594029983,0.8775510204081632,0.9178356713426854,0.03389830508474578,0.6492985971943888,1,1,1,1
s__Holdemanella_biformis,4,1.7129007236194975,0.061224489795918324,0.8356713426853708,0.5254237288135593,0.29058116232464926,1,1,1,1
s__Clostridium_sp_OM07_10AC,4,1.0404655731386674,0.08163265306122447,0.8557114228456913,0.016949152542372836,0.08617234468937873,1,1,1,1
s__Bacteroides_cellulosilyticus,3,2.9079854624503243,0.0,0.9779559118236473,0.9661016949152542,0.9639278557114228,0,1,1,1
s__GGB9412_SGB14770,3,2.8957915831663326,0.0,0.9679358717434869,1.0,0.9278557114228457,0,1,1,1
s__Ruminococcus_lactaris,3,2.8352637478346523,0.0,0.9639278557114228,0.8813559322033898,0.9899799599198397,0,1,1,1
s__Bifidobacterium_dentium,3,2.799231115291808,0.9795918367346939,0.9859719438877755,0.0,0.8336673346693386,1,1,0,1
s__Bacteroides_ovatus,3,2.6945755918616894,0.0,0.9799599198396793,0.7627118644067796,0.9519038076152304,0,1,1,1
s__Clostridium_SGB6179,3,2.6944736931490096,0.0,0.8897795591182365,0.9830508474576272,0.8216432865731462,0,1,1,1
s__Streptococcus_vestibularis,3,2.685902417079056,0.9183673469387755,1.0,0.0,0.7675350701402806,1,1,0,1
s__Lachnoclostridium_sp_An138,3,2.6519978732976157,0.8163265306122449,0.9879759519038076,0.0,0.8476953907815631,1,1,0,1
s__Phascolarctobacterium_faecium,3,2.6478040827417546,0.0,0.9599198396793587,0.8983050847457628,0.7895791583166333,0,1,1,1
s__GGB9491_SGB14888,3,2.64160975011247,0.7959183673469388,0.969939879759519,0.0,0.875751503006012,1,1,0,1
s__GGB3491_SGB4665,3,2.6379538738493937,0.0,0.9278557114228457,0.864406779661017,0.845691382765531,0,1,1,1
s__Blautia_hydrogenotrophica,3,2.631753302523414,0.6938775510204082,0.9759519038076152,0.0,0.9619238476953907,1,1,0,1
s__Streptococcus_mutans,3,2.5920821234305347,0.9387755102040817,0.9979959919839679,0.0,0.655310621242485,1,1,0,1
s__Streptococcus_anginosus,3,2.5813259171404033,0.8979591836734694,0.9719438877755511,0.0,0.7114228456913827,1,1,0,1
s__Phocaeicola_dorei,3,2.561393974389457,0.0,0.9559118236472945,0.7457627118644068,0.8597194388777555,0,1,1,1
s__GGB9524_SGB14924,3,2.5350292421577847,0.7755102040816326,0.9899799599198397,0.0,0.7695390781563126,1,1,0,1
s__Ellagibacter_isourolithinifaciens,3,2.46374381415893,0.4897959183673469,0.9819639278557114,0.0,0.9919839679358717,1,1,0,1
s__Alistipes_indistinctus,3,2.3554906423015525,0.0,0.7334669338677355,0.6440677966101696,0.9779559118236473,0,1,1,1
s__Alistipes_finegoldii,3,2.3212526748412077,0.0,0.719438877755511,0.6779661016949152,0.9238476953907816,0,1,1,1
