feature,p_value,u_stat,cohens_d,cohens_d_raw,log2_fc,ad_mean,control_mean,direction,p_adj
s__GGB4599_SGB6362,0.6372597912186636,1204.0,0.18289728369180128,-0.18289728369180128,-0.15750864989631833,2.9010075560967015,3.2356660205551004,down,0.7541371328395539
s__Clostridium_sp_1001270H_150608_G6,0.7016300631766004,1192.0,0.12558563895333522,-0.12558563895333522,-0.2604410840860108,1.6991307401437201,2.0352950459250883,down,0.7972400298568499
s__Dialister_invisus,0.024163497574791696,1446.0,0.3173908917286354,0.3173908917286354,0.3126999643482826,4.284110199713613,3.4492809090587446,up,0.10561786843175079
s__Ruminococcus_bromii,0.7291304747336416,1187.0,0.053856458643860294,-0.053856458643860294,-0.04180540536462436,5.246292647885336,5.400540081742716,down,0.8148220975373891
s__Anaerobutyricum_hallii,0.03446975984359024,1427.0,0.2671357017232714,0.2671357017232714,0.0921401249275987,5.404067021508757,5.069717795489293,up,0.1262338502380129
s__Faecalibacterium_prausnitzii,0.06441515401499434,1391.0,0.3595454906999105,0.3595454906999105,0.08185169090015361,6.4707613648013655,6.1138611252251165,up,0.16982419095599044
s__Blautia_faecis,0.452347865645516,1242.0,0.20198094612404552,0.20198094612404552,0.0719909279043357,5.0534450856644595,4.807464899106322,up,0.6023881498895065
s__Blautia_obeum,0.41346229373009313,1251.0,0.13998297317329064,0.13998297317329064,0.05694810404192835,4.720860933636235,4.538142404882888,up,0.5616455218087981
s__Ruminococcus_torques,0.05356468291486848,1402.0,0.36852191030192993,0.36852191030192993,0.13739002406690276,5.056624462160898,4.597292993177309,up,0.1595168029662567
s__Blautia_wexlerae,0.0004286824399307189,1618.0,0.7596274102896194,0.7596274102896194,0.22821356551623684,6.55204201978786,5.593421473397888,up,0.02104075697473299
s__GGB4578_SGB6328,0.03842174743411881,1421.0,0.07876587319905017,0.07876587319905017,0.6840213571791053,0.29646304952773345,0.18452687435505843,up,0.1334909430082846
s__Anaerostipes_hadrus,0.0602764032264326,1395.0,0.38125613015825144,0.38125613015825144,0.11957103765942464,5.798052802546976,5.336883187710584,up,0.1658366017701851
s__Ruminococcus_bicirculans,0.7402313430064833,1185.0,0.04510899147715763,-0.04510899147715763,-0.0542336347544515,3.5134867781426946,3.6480793349913143,down,0.8221421883391679
s__Coprococcus_comes,0.6163680539073899,1208.0,0.03712696147442453,0.03712696147442453,0.0164474602618636,4.500231167278381,4.449217576686265,up,0.7358402758101439
s__Lachnospira_eligens,0.3271327243786284,1006.0,0.2620033700278187,-0.2620033700278187,-0.21518513316308457,3.439075076405606,3.992260175084927,down,0.4779135757768641
