feature,mi_score
s__Coprococcus_comes,0.16404511086268214
s__GGB9758_SGB15368,0.14079853683485832
s__Bacteroides_xylanisolvens,0.1326561541290565
s__Alistipes_ihumii,0.1312212496659011
s__Ellagibacter_isourolithinifaciens,0.11971021911220414
s__Ruminococcus_lactaris,0.11578865366175917
s__GGB38744_SGB14842,0.11307371536003674
s__Oscillospiraceae_bacterium_Marseille_Q3528,0.11279815180322283
s__GGB9642_SGB15119,0.11082917170924333
s__Blautia_massiliensis,0.10970960262092411
s__Eubacterium_ramulus,0.10881680436454233
s__Alistipes_indistinctus,0.10313327963835106
s__Ruminococcus_torques,0.09656036759668907
s__Sutterella_wadsworthensis,0.09562504713011877
s__GGB3175_SGB4191,0.0948239963290678
s__Blautia_sp_Marseille_P3087,0.0931898002555338
s__Dialister_invisus,0.08849292549286925
s__GGB9581_SGB14999,0.08731414506921653
s__Bacteroides_cellulosilyticus,0.08666500803995203
s__Blautia_hydrogenotrophica,0.08661386477818556
s__Streptococcus_parasanguinis,0.08642764730771857
s__Clostridium_sp_AF36_4,0.08600616485498636
s__Clostridiales_Family_XIII_bacterium_BX16,0.08331319809951965
s__Clostridium_sp_AM33_3,0.0827483694096911
s__Bacteroides_ovatus,0.08062936572818757
s__Holdemanella_porci,0.07941833717340852
s__GGB9345_SGB14311,0.07885113816870981
s__Anaerotignum_faecicola,0.0783323571811787
s__Faecalibacterium_SGB15346,0.07832079041869267
s__Clostridium_sp_AF34_10BH,0.07809544131926272
s__Phocaeicola_vulgatus,0.07754116342123507
s__Mediterraneibacter_glycyrrhizinilyticus,0.07700191253731492
s__GGB3005_SGB3996,0.07664600822920487
s__Dorea_sp_AF24_7LB,0.07458303936936095
s__Intestinimonas_butyriciproducens,0.074305452373024
s__Faecalitalea_cylindroides,0.0715070066058281
s__GGB9412_SGB14770,0.07127676809433958
s__Blautia_glucerasea,0.07088271770028909
s__Alistipes_finegoldii,0.06932694558514885
s__Neglectibacter_timonensis,0.06739795015302152
s__Holdemania_filiformis,0.06658397399437654
s__GGB9502_SGB14899,0.06654969539851696
s__Ruminococcus_sp_BSD2780120874_150323_B10,0.06625181619438814
s__Butyrivibrio_crossotus,0.06575954226461378
s__Roseburia_hominis,0.064992080559652
s__GGB9762_SGB15377,0.06403591016414323
s__GGB9291_SGB14248,0.062141479363462704
s__Mediterraneibacter_SGB48424,0.06210009407391537
s__GGB27106_SGB6188,0.06114002558167786
s__Monoglobus_pectinilyticus,0.06086235611742774
s__Bacteroides_fragilis,0.060056304530126337
s__Enterocloster_bolteae,0.05955173097867772
s__GGB9770_SGB15390,0.058844033005354346
s__Dysosmobacter_welbionis,0.058775767650711463
s__GGB2982_SGB3964,0.05844318963576112
s__Blautia_sp_MSK_20_85,0.05819656126413286
s__Candidatus_Cibionibacter_quicibialis,0.05576123617255768
s__Alistipes_putredinis,0.0556957634508346
s__Lachnospiraceae_bacterium,0.05554617345749491
s__GGB2653_SGB3574,0.05547728979486122
s__Blautia_wexlerae,0.0553809473151019
s__Agathobaculum_butyriciproducens,0.05503875263757396
s__GGB9491_SGB14888,0.05476950680307113
s__Eubacteriales_unclassified_SGB15145,0.053863047555619215
s__Clostridium_butyricum,0.053243567294594785
s__GGB2848_SGB3813,0.0531957707624231
s__Holdemania_sp_1001095H_141210_F2,0.05296376896792121
s__GGB3653_SGB4964,0.05259557098942902
s__Parabacteroides_distasonis,0.05221847837888083
s__GGB3570_SGB4777,0.0520371246359459
s__Phocaeicola_dorei,0.05192242452124618
s__GGB52130_SGB14966,0.05191725029732175
s__Negativibacillus_massiliensis,0.05112266219744144
s__Eubacterium_sp_AF34_35BH,0.0510581267819481
s__GGB34797_SGB14322,0.051028902533974074
s__Lachnospiraceae_bacterium_NSJ_29,0.050808545718947995
s__Lachnoclostridium_sp_An138,0.050700246241937474
s__GGB3491_SGB4665,0.050293985048137646
