feature,importance
s__Streptococcus_vestibularis,0.013736343971060844
s__Streptococcus_mutans,0.011635861516631216
s__Bacteroides_finegoldii,0.009450976511040949
s__Blautia_wexlerae,0.009415879465027003
s__Veillonella_dispar,0.008608431910136051
s__GGB9524_SGB14924,0.00847835414493722
s__Lachnoclostridium_sp_An138,0.008124601904335654
s__Bifidobacterium_dentium,0.007822302567961589
s__Enterocloster_citroniae,0.007802736269748872
s__Ellagibacter_isourolithinifaciens,0.007535910048730624
s__Bacteroides_ovatus,0.00718544310472026
s__Bacteroides_cellulosilyticus,0.007171020067627682
s__Blautia_hydrogenotrophica,0.0070831952096709954
s__Holdemania_sp_1001095H_141210_F2,0.006957847543617803
s__Streptococcus_anginosus,0.0069459278215581064
s__GGB9491_SGB14888,0.006900740334413378
s__GGB9412_SGB14770,0.006776168883036646
s__GGB47687_SGB2286,0.00667382027967751
s__Ruminococcus_lactaris,0.006329748106523224
s__Enterocloster_aldenensis,0.006259655001681873
s__Phascolarctobacterium_faecium,0.006253332470570922
s__GGB3677_SGB4990,0.006037065129301795
s__Phocaeicola_dorei,0.0059672441142528876
s__Faecalibacillus_intestinalis,0.005527194957882918
s__Dysosmobacter_welbionis,0.005504963399608201
s__Blautia_sp_Marseille_P3087,0.005310972163017771
s__GGB9534_SGB14937,0.005210020185324489
s__Clostridiales_bacterium,0.005026908156565371
s__GGB9758_SGB15368,0.004942568748327992
s__GGB51269_SGB5062,0.004849630666140046
s__Lachnospira_sp_NSJ_43,0.004775683816476957
s__GGB2982_SGB3964,0.00464462242208997
s__Dysosmobacter_sp_BX15,0.00462799103508793
s__Clostridium_butyricum,0.004614605342131957
s__GGB3433_SGB4573,0.004570496237390983
s__Mediterraneibacter_SGB48424,0.004562915585010432
s__GGB3491_SGB4665,0.004544546012961561
s__Negativibacillus_massiliensis,0.004500608096884772
s__GGB3619_SGB4894,0.004435658562075977
s__Eubacterium_ramulus,0.004408593626039564
s__Alistipes_shahii,0.004332193700081526
s__Lacrimispora_saccharolytica,0.004224882405939642
s__Ruminococcus_sp_BSD2780120874_150323_B10,0.0042092155412661435
s__Alistipes_putredinis,0.004166529884315389
s__GGB9708_SGB15234,0.004135493410505364
s__GGB9590_SGB15012,0.00410758685273022
s__GGB9707_SGB15229,0.0041025015840991325
s__GGB2983_SGB3965,0.004017091931832982
s__GGB33512_SGB15201,0.003983907743908091
s__GGB9189_SGB14128,0.003967914802396167
s__GGB9636_SGB15108,0.0038342220955389582
s__Oscillospiraceae_bacterium_Marseille_Q3528,0.003782986841781924
s__Sutterella_wadsworthensis,0.003740227799026812
s__GGB52130_SGB14966,0.0037335842395658505
s__GGB33586_SGB53517,0.0037169154318500816
s__Clostridium_SGB6179,0.003714033739220275
s__Streptococcus_parasanguinis,0.0036835615597225497
s__GGB4604_SGB6370,0.003634218496556591
s__Phocaeicola_plebeius,0.0035901139401743197
s__GGB9715_SGB15265,0.003586571395225632
s__Eubacterium_ventriosum,0.0035741966962240398
s__Flavonifractor_plautii,0.0035109274120453293
s__GGB3746_SGB5089,0.0034048041319057277
s__Gemmiger_SGB15299,0.003402690086732663
s__Hydrogenoanaerobacterium_saccharovorans,0.0033990391810610815
s__Bilophila_wadsworthia,0.003382741175160042
s__Prevotella_copri_clade_A,0.0033585547888375666
s__Candidatus_Geddesella_stercoravicola,0.003290286257760571
s__Holdemanella_porci,0.003288666082834948
s__Lacrimispora_celerecrescens,0.003191296753101447
s__GGB9775_SGB15395,0.003168927716170016
s__Bifidobacterium_longum,0.0030957546956137385
s__Clostridium_sp_OM07_10AC,0.0030036538567989896
s__GGB3478_SGB4643,0.0029976153362151897
s__GGB9713_SGB15249,0.0029892567070237248
s__GGB9635_SGB15103,0.002964978690606555
s__Mediterraneibacter_butyricigenes,0.0029610812746705814
s__Streptococcus_thermophilus,0.002960012985778218
s__Dysosmobacter_sp_NSJ_60,0.002951025622623116
s__GGB4659_SGB6447,0.0029508166819071945
s__GGB33469_SGB15236,0.002948151222049535
s__Lachnospiraceae_bacterium_AM48_27BH,0.00293896336838939
s__Holdemanella_biformis,0.00290599882054133
s__Clostridium_leptum,0.0028778150697781027
s__Oscillospiraceae_bacterium,0.0028543663142281566
s__Mogibacterium_sp_BX12,0.0028515733241485913
s__GGB9690_SGB15196,0.0028512885021126774
s__GGB9667_SGB15164,0.0028140581547290754
s__Adlercreutzia_equolifaciens,0.0028030085325025937
s__Vescimonas_coprocola,0.00279538172941887
s__GGB4689_SGB6487,0.002792074233213822
s__Veillonella_atypica,0.0027807458996636104
s__Blautia_SGB101324,0.002772377970358031
s__GGB9502_SGB14899,0.0027708179855774604
s__GGB13404_SGB14252,0.0027681683027881822
s__Dorea_formicigenerans,0.002761413562895571
s__GGB9765_SGB15382,0.002739480916856068
s__GGB9522_SGB14921,0.0027381208850666577
s__Veillonella_parvula,0.0027341331933581196
s__GGB2653_SGB3574,0.002710840921325054
s__GGB51884_SGB49168,0.0026875026072347326
s__Streptococcus_salivarius,0.0026842741340557803
s__Faecalibacterium_prausnitzii,0.002672848062436435
s__GGB9618_SGB15065,0.002649577904704126
s__Alistipes_sp_AF17_16,0.0026477521905947264
s__Clostridium_sp_AM49_4BH,0.002636560510555309
s__Collinsella_bouchesdurhonensis,0.00263031985976577
s__Clostridium_sp_1001270J_160509_D11,0.0026293865379440283
s__GGB4566_SGB6305,0.0026241630425767387
s__Butyricicoccus_sp_AM29_23AC,0.0026117145460964443
s__Clostridium_SGB6173,0.002601696143724318
s__Desulfovibrio_piger,0.0026011347543389756
s__GGB2977_SGB3959,0.00256577995368244
s__Dorea_sp_AF36_15AT,0.002512547325849114
s__GGB2848_SGB3813,0.002507234829783453
s__GGB9291_SGB14248,0.002502110824863981
s__Anaerotruncus_massiliensis,0.0024940452318137777
s__GGB9641_SGB15117,0.002490687142885436
s__Faecalibacterium_SGB15346,0.002475690025863087
s__Blautia_luti,0.002453561608216624
s__Lachnotalea_sp_AF33_28,0.0024388764692328552
s__GGB36267_SGB14177,0.0024356698575755224
s__Clostridiaceae_bacterium_Marseille_Q4145,0.0024178346932155364
s__Anaerotignum_faecicola,0.002414133480043467
s__GGB9614_SGB15049,0.0024011420848501753
s__Bifidobacterium_bifidum,0.0023939048424046964
s__Paraprevotella_clara,0.0023897056332341307
s__GGB9618_SGB15064,0.002379099295616246
s__Turicibacter_sanguinis,0.0023612162500761735
s__Evtepia_gabavorous,0.0023426749478399596
s__GGB3534_SGB4722,0.002314383844880158
s__Escherichia_coli,0.002293391121056309
s__GGB3637_SGB4930,0.002292449363611463
s__Alistipes_indistinctus,0.0022813530684005013
s__GGB9342_SGB14306,0.002246001883327489
s__GGB33512_SGB15203,0.002241934946535513
s__Fusicatenibacter_saccharivorans,0.0022244740798816397
s__Clostridium_sp_AF20_17LB,0.0022243568571980966
s__Clostridiaceae_bacterium_AF18_31LB,0.0022073198650411044
s__GGB9468_SGB14861,0.002199948307139272
s__Alistipes_finegoldii,0.0021721512292452675
s__Anaerostipes_hadrus,0.002150571290146731
s__Anaerobutyricum_soehngenii,0.002148527082577609
s__Enterocloster_bolteae,0.002138740963554363
s__GGB9636_SGB15107,0.0021316561902841634
s__GGB9627_SGB15081,0.0021312354951123227
s__Pseudoruminococcus_massiliensis,0.0021307478589520745
s__Blautia_schinkii,0.002130066742197511
s__GGB9699_SGB15216,0.0021234370905162006
s__Roseburia_inulinivorans,0.0021122767048125774
s__GGB9770_SGB15390,0.002108953808494311
s__Ruminococcus_sp_NSJ_13,0.002099849771493863
s__GGB6612_SGB9346,0.0020990215637969145
s__Eubacteriaceae_bacterium,0.0020937678238200676
s__GGB3653_SGB4964,0.0020916576058432096
s__GGB3593_SGB4817,0.002074204547020153
s__GGB9719_SGB15272,0.00207353505562485
s__GGB9715_SGB15267,0.0020471137624486625
s__Blautia_sp_MSK_20_85,0.0020442594492233322
s__Clostridiaceae_bacterium,0.0020375459060040842
s__Ruminococcus_bromii,0.0020134911385617203
s__GGB9788_SGB15411,0.002012592467419021
