fold,lr,batch_size,feature,n_blocks,fusion_layer,num_bottleneck,lmf_hidden_dim,lmf_output_dim,lmf_rank,lmf_dropout,use_lmf_subnet,gat_dim,gat_dropout,finetune_mbt,seed,AUC,Recall,Precision,F1
1,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,256,0.1,False,777,0.6058,0.125,0.75,0.2143
2,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,256,0.1,False,777,0.4808,0.0833,1.0,0.1538
3,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,256,0.1,False,777,0.4167,0.6667,0.5926,0.6275
4,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,256,0.1,False,777,0.4551,0.9583,0.6571,0.7797
5,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,256,0.1,False,777,0.4808,0.0833,1.0,0.1538
all,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,256,0.1,False,777,0.4878(0.0635),0.3833(0.3627),0.7999(0.1708),0.3858(0.2648)
1,0.0001,16,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.4679,0.3333,0.5,0.4
2,0.0001,16,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.3462,0.875,0.6364,0.7368
3,0.0001,16,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.4295,0.5417,0.5909,0.5652
4,0.0001,16,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.7051,1.0,0.7059,0.8276
5,0.0001,16,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.4808,0.75,0.6667,0.7059
all,0.0001,16,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.4859(0.1192),0.7000(0.2378),0.6200(0.0708),0.6471(0.1496)
