fold,lr,batch_size,feature,n_blocks,fusion_layer,num_bottleneck,proj_dim,gat_dim,gat_heads,gat_dropout,finetune_mbt,seed,AUC,Recall,Precision,F1
1,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,True,777,0.5705,0.7917,0.6552,0.717
2,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,True,777,0.4359,0.4167,0.5263,0.4651
3,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,True,777,0.4744,0.2917,0.5833,0.3889
4,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,True,777,0.4327,0.7917,0.6333,0.7037
5,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,True,777,0.5481,0.9167,0.6875,0.7857
all,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,True,777,0.4923(0.0571),0.6417(0.2424),0.6171(0.0567),0.6121(0.1555)
1,0.0001,8,"ko,species",4,2,4,256,128,4,0.1,True,777,0.5673,0.6667,0.6957,0.6809
2,0.0001,8,"ko,species",4,2,4,256,128,4,0.1,True,777,0.5673,0.6667,0.6957,0.6809
3,0.0001,8,"ko,species",4,2,4,256,128,4,0.1,True,777,0.6058,1.0,0.6857,0.8136
4,0.0001,8,"ko,species",4,2,4,256,128,4,0.1,True,777,0.6571,0.0417,0.5,0.0769
5,0.0001,8,"ko,species",4,2,4,256,128,4,0.1,True,777,0.5032,0.6667,0.5926,0.6275
all,0.0001,8,"ko,species",4,2,4,256,128,4,0.1,True,777,0.5801(0.0507),0.6084(0.3114),0.6339(0.0774),0.5760(0.2570)
