fold,lr,batch_size,feature,n_blocks,fusion_layer,num_bottleneck,seed,AUC,Recall,Precision,F1
1,0.0001,8,"ko,species",6,3,4,777,0.6635,0.3333,0.8,0.4706
2,0.0001,8,"ko,species",6,3,4,777,0.5224,0.9167,0.6286,0.7458
3,0.0001,8,"ko,species",6,3,4,777,0.6282,0.25,0.8571,0.3871
4,0.0001,8,"ko,species",6,3,4,777,0.5929,0.7083,0.68,0.6939
5,0.0001,8,"ko,species",6,3,4,777,0.5929,1.0,0.6486,0.7869
all,0.0001,8,"ko,species",6,3,4,777,0.6000(0.0468),0.6417(0.3023),0.7229(0.0897),0.6169(0.1585)
1,0.0001,8,"ko,species",4,2,4,777,0.6282,0.625,0.7143,0.6667
2,0.0001,8,"ko,species",4,2,4,777,0.5913,1.0,0.6486,0.7869
3,0.0001,8,"ko,species",4,2,4,777,0.6314,0.0,0.0,0.0
4,0.0001,8,"ko,species",4,2,4,777,0.6218,0.0,0.0,0.0
5,0.0001,8,"ko,species",4,2,4,777,0.6699,0.6667,0.8,0.7273
all,0.0001,8,"ko,species",4,2,4,777,0.6285(0.0251),0.4583(0.3962),0.4326(0.3564),0.4362(0.3582)
1,0.0001,16,"ko,species",4,2,4,777,0.6378,0.4167,0.8333,0.5556
2,0.0001,16,"ko,species",4,2,4,777,0.5769,1.0,0.6486,0.7869
3,0.0001,16,"ko,species",4,2,4,777,0.5705,0.5417,0.6842,0.6047
4,0.0001,16,"ko,species",4,2,4,777,0.6378,0.6667,0.7273,0.6957
5,0.0001,16,"ko,species",4,2,4,777,0.5481,0.0,0.0,0.0
all,0.0001,16,"ko,species",4,2,4,777,0.5942(0.0368),0.5250(0.3266),0.5787(0.2959),0.5286(0.2759)
