fold,lr,batch_size,feature,model_type,n_blocks,AUC,ACC,Recall,Precision,F1
1,0.0001,8,species,FT_transformer,1,0.6563,0.5942,0.5882,0.5882,0.5882
2,0.0001,8,species,FT_transformer,1,0.7933,0.7826,0.7647,0.7879,0.7761
3,0.0001,8,species,FT_transformer,1,0.5874,0.6232,0.4706,0.6667,0.5517
4,0.0001,8,species,FT_transformer,1,0.7546,0.6522,0.5,0.7083,0.5862
5,0.0001,8,species,FT_transformer,1,0.7413,0.6471,0.7353,0.625,0.6757
all,0.0001,8,species,FT_transformer,1,0.7066 ± 0.0745,0.6599 ± 0.0647,0.6118 ± 0.1197,0.6752 ± 0.0692,0.6356 ± 0.0813
1,0.0001,16,species,FT_transformer,1,0.6462,0.5797,0.4412,0.6,0.5085
2,0.0001,16,species,FT_transformer,1,0.7891,0.7246,0.6765,0.7419,0.7077
3,0.0001,16,species,FT_transformer,1,0.5983,0.6087,0.6176,0.6,0.6087
4,0.0001,16,species,FT_transformer,1,0.7773,0.7101,0.5,0.85,0.6296
5,0.0001,16,species,FT_transformer,1,0.7128,0.6765,0.4118,0.875,0.56
all,0.0001,16,species,FT_transformer,1,0.7047 ± 0.0738,0.6599 ± 0.0566,0.5294 ± 0.1019,0.7334 ± 0.1177,0.6029 ± 0.0671
1,3e-05,16,species,FT_transformer,1,0.6084,0.5362,0.3235,0.55,0.4074
2,3e-05,16,species,FT_transformer,1,0.7412,0.6957,0.6176,0.7241,0.6667
3,3e-05,16,species,FT_transformer,1,0.5866,0.5942,0.4706,0.6154,0.5333
4,3e-05,16,species,FT_transformer,1,0.7807,0.7246,0.5588,0.8261,0.6667
5,3e-05,16,species,FT_transformer,1,0.75,0.6912,0.7647,0.6667,0.7123
all,3e-05,16,species,FT_transformer,1,0.6934 ± 0.0797,0.6484 ± 0.0713,0.5470 ± 0.1472,0.6765 ± 0.0943,0.5973 ± 0.1123
1,1e-05,8,species,FT_transformer,2,0.7101,0.5942,0.4412,0.625,0.5172
2,1e-05,8,species,FT_transformer,2,0.7176,0.6522,0.8235,0.6087,0.7
3,1e-05,8,species,FT_transformer,2,0.6832,0.6232,0.5588,0.6333,0.5938
4,1e-05,8,species,FT_transformer,2,0.8017,0.6087,0.2353,0.8889,0.3721
5,1e-05,8,species,FT_transformer,2,0.7673,0.5441,0.1176,0.8,0.2051
all,1e-05,8,species,FT_transformer,2,0.7360 ± 0.0426,0.6045 ± 0.0358,0.4353 ± 0.2478,0.7112 ± 0.1127,0.4776 ± 0.1732
1,1e-05,16,species,FT_transformer,3,0.6983,0.6522,0.5588,0.6786,0.6129
2,1e-05,16,species,FT_transformer,3,0.6723,0.6522,0.5882,0.6667,0.625
3,1e-05,16,species,FT_transformer,3,0.6353,0.6087,0.5294,0.6207,0.5714
4,1e-05,16,species,FT_transformer,3,0.8303,0.7536,0.7941,0.7297,0.7606
5,1e-05,16,species,FT_transformer,3,0.7448,0.6618,0.7647,0.6341,0.6933
all,1e-05,16,species,FT_transformer,3,0.7162 ± 0.0673,0.6657 ± 0.0477,0.6470 ± 0.1101,0.6660 ± 0.0382,0.6526 ± 0.0667
1,1e-05,16,species,FT_transformer,2,0.7084,0.6522,0.6176,0.6562,0.6364
2,1e-05,16,species,FT_transformer,2,0.716,0.6667,0.6176,0.6774,0.6462
3,1e-05,16,species,FT_transformer,2,0.6286,0.5797,0.5882,0.5714,0.5797
4,1e-05,16,species,FT_transformer,2,0.705,0.6812,0.6176,0.7,0.6562
5,1e-05,16,species,FT_transformer,2,0.7699,0.7206,0.6765,0.7419,0.7077
all,1e-05,16,species,FT_transformer,2,0.7056 ± 0.0451,0.6601 ± 0.0462,0.6235 ± 0.0288,0.6694 ± 0.0566,0.6452 ± 0.0410
