fold,lr,batch_size,feature,num_conv_layers,d_token,seed,AUC,Recall,Precision,F1
1,0.0001,8,species,3,128,777,0.6061,0.0,0.0,0.0
2,0.0001,8,species,3,128,777,0.6667,0.0,0.0,0.0
3,0.0001,8,species,3,128,777,0.6818,0.8182,0.6429,0.72
4,0.0001,8,species,3,128,777,0.7475,0.6364,0.7,0.6667
5,0.0001,8,species,3,128,777,0.6566,0.8182,0.6429,0.72
all,0.0001,8,species,3,128,777,0.6717(0.0456),0.4546(0.3770),0.3972(0.3249),0.4213(0.3446)
1,0.0001,8,species,1,128,777,0.6465,0.9091,0.6667,0.7692
2,0.0001,8,species,1,128,777,0.5455,0.3636,0.6667,0.4706
3,0.0001,8,species,1,128,777,0.6566,0.7273,0.6667,0.6957
4,0.0001,8,species,1,128,777,0.6061,0.5455,0.6,0.5714
5,0.0001,8,species,1,128,777,0.596,1.0,0.55,0.7097
all,0.0001,8,species,1,128,777,0.6101(0.0397),0.7091(0.2328),0.6300(0.0476),0.6433(0.1077)
1,0.0001,8,species,2,128,777,0.6566,0.3636,0.6667,0.4706
2,0.0001,8,species,2,128,777,0.8081,0.6364,0.7,0.6667
3,0.0001,8,species,2,128,777,0.596,1.0,0.55,0.7097
4,0.0001,8,species,2,128,777,0.5253,1.0,0.55,0.7097
5,0.0001,8,species,2,128,777,0.5354,0.4545,0.5556,0.5
all,0.0001,8,species,2,128,777,0.6243(0.1033),0.6909(0.2672),0.6045(0.0653),0.6113(0.1045)
