fold,lr,batch_size,feature,d_token,fusion_depth,dst_embedding_length,ahl_depth,seed,AUC,ACC,Recall,Precision,F1
1,0.0001,16,"species,ko",128,4,8,3,392,0.7172,0.55,1.0,0.55,0.7097
2,0.0001,16,"species,ko",128,4,8,3,412,0.8485,0.55,1.0,0.55,0.7097
3,0.0001,16,"species,ko",128,4,8,3,432,0.7879,0.55,1.0,0.55,0.7097
4,0.0001,16,"species,ko",128,4,8,3,452,0.697,0.55,1.0,0.55,0.7097
5,0.0001,16,"species,ko",128,4,8,3,472,0.7879,0.55,1.0,0.55,0.7097
all,0.0001,16,"species,ko",128,4,8,3,all,0.7677(0.0610),0.55,1.0000(0.0000),0.5500(0.0000),0.7097(0.0000)
1,0.0001,8,"species,ko",128,4,8,3,392,0.7273,0.55,1.0,0.55,0.7097
2,0.0001,8,"species,ko",128,4,8,3,412,0.8283,0.45,0.0,0.0,0.0
3,0.0001,8,"species,ko",128,4,8,3,432,0.8081,0.55,1.0,0.55,0.7097
4,0.0001,8,"species,ko",128,4,8,3,452,0.7778,0.55,1.0,0.55,0.7097
5,0.0001,8,"species,ko",128,4,8,3,472,0.7475,0.55,1.0,0.55,0.7097
all,0.0001,8,"species,ko",128,4,8,3,all,0.7778(0.0416),0.55,0.8000(0.4472),0.4400(0.2460),0.5678(0.3174)
1,0.0001,8,"species,ko",96,4,4,3,392,0.7879,0.55,1.0,0.55,0.7097
2,0.0001,8,"species,ko",96,4,4,3,412,0.8182,0.55,1.0,0.55,0.7097
3,0.0001,8,"species,ko",96,4,4,3,432,0.8485,0.55,1.0,0.55,0.7097
4,0.0001,8,"species,ko",96,4,4,3,452,0.7677,0.55,1.0,0.55,0.7097
5,0.0001,8,"species,ko",96,4,4,3,472,0.8384,0.55,1.0,0.55,0.7097
all,0.0001,8,"species,ko",96,4,4,3,all,0.8121(0.0340),0.55,1.0000(0.0000),0.5500(0.0000),0.7097(0.0000)
1,0.0001,16,"ko,species",96,4,4,3,392,0.6869,0.55,1.0,0.55,0.7097
2,0.0001,16,"ko,species",96,4,4,3,412,0.8889,0.55,1.0,0.55,0.7097
3,0.0001,16,"ko,species",96,4,4,3,432,0.8333,0.55,1.0,0.55,0.7097
4,0.0001,16,"ko,species",96,4,4,3,452,0.4545,0.55,1.0,0.55,0.7097
5,0.0001,16,"ko,species",96,4,4,3,472,0.7172,0.55,1.0,0.55,0.7097
all,0.0001,16,"ko,species",96,4,4,3,all,0.7162(0.1680),0.55,1.0000(0.0000),0.5500(0.0000),0.7097(0.0000)
