fold,lr,batch_size,feature,d_token,num_layers,base_channels,expansion_factor,latent_dim,seed,AUC,Recall,Precision,F1
1,0.0001,8,species,32,4,32,2,256,777,0.7071,0.6364,0.7,0.6667
2,0.0001,8,species,32,4,32,2,256,777,0.8586,0.9091,0.7692,0.8333
3,0.0001,8,species,32,4,32,2,256,777,0.5556,0.9091,0.5556,0.6897
4,0.0001,8,species,32,4,32,2,256,777,0.6869,0.7273,0.8,0.7619
5,0.0001,8,species,32,4,32,2,256,777,0.6465,0.6364,0.5833,0.6087
all,0.0001,8,species,32,4,32,2,256,777,0.6909(0.0987),0.7637(0.1233),0.6816(0.0975),0.7121(0.0780)
1,0.0001,16,species,32,4,32,2,256,777,0.6566,0.6364,0.7,0.6667
2,0.0001,16,species,32,4,32,2,256,777,0.7677,0.5455,0.8571,0.6667
3,0.0001,16,species,32,4,32,2,256,777,0.697,0.7273,0.6667,0.6957
4,0.0001,16,species,32,4,32,2,256,777,0.7071,0.7273,0.5714,0.64
5,0.0001,16,species,32,4,32,2,256,777,0.5051,1.0,0.55,0.7097
all,0.0001,16,species,32,4,32,2,256,777,0.6667(0.0883),0.7273(0.1521),0.6690(0.1096),0.6758(0.0245)
1,0.001,8,species,32,4,32,2,256,777,0.5051,0.6364,0.5,0.56
2,0.001,8,species,32,4,32,2,256,777,0.7576,0.6364,0.7778,0.7
3,0.001,8,species,32,4,32,2,256,777,0.5758,0.9091,0.5556,0.6897
4,0.001,8,species,32,4,32,2,256,777,0.697,0.0,0.0,0.0
5,0.001,8,species,32,4,32,2,256,777,0.5051,0.6364,0.5385,0.5833
all,0.001,8,species,32,4,32,2,256,777,0.6081(0.1025),0.5637(0.3010),0.4744(0.2563),0.5066(0.2593)
