fold,lr,batch_size,feature,d_token,fusion_depth,dst_embedding_length,ahl_depth,seed,AUC,Recall,Precision,F1
1,0.0001,16,"species,ko",64,2,8,3,392,0.6061,0.0,0.0,0.0
2,0.0001,16,"species,ko",64,2,8,3,412,0.7677,0.0,0.0,0.0
3,0.0001,16,"species,ko",64,2,8,3,432,0.4343,0.0,0.0,0.0
4,0.0001,16,"species,ko",64,2,8,3,452,0.5859,0.3636,0.8,0.5
5,0.0001,16,"species,ko",64,2,8,3,472,0.8283,0.8182,0.8182,0.8182
all,0.0001,16,"species,ko",64,2,8,3,all,0.6445(0.1566),0.2364(0.3614),0.3236(0.4432),0.2636(0.3781)
1,0.0001,8,"species,ko",64,2,8,3,392,0.6566,0.0,0.0,0.0
2,0.0001,8,"species,ko",64,2,8,3,412,0.7778,0.0,0.0,0.0
3,0.0001,8,"species,ko",64,2,8,3,432,0.5455,0.9091,0.5263,0.6667
4,0.0001,8,"species,ko",64,2,8,3,452,0.4444,0.0,0.0,0.0
5,0.0001,8,"species,ko",64,2,8,3,472,0.6162,0.0,0.0,0.0
all,0.0001,8,"species,ko",64,2,8,3,all,0.6081(0.1244),0.1818(0.4066),0.1053(0.2354),0.1333(0.2982)
