lr,batch_size,feature,d_token,num_layers,base_channels,expansion_factor,latent_dim,fusion_depth,dst_embedding_length,ahl_depth,seed,AUC,Recall,Precision,F1
0.0001,8,"species,ko",96,4,96,2,512,2,8,3,392,0.7778,0.6364,0.7,0.6667
0.0001,8,"species,ko",96,4,96,2,512,2,8,3,412,0.8182,0.9091,0.7143,0.8
0.0001,8,"species,ko",96,4,96,2,512,2,8,3,432,0.7273,0.7273,0.8,0.7619
0.0001,8,"species,ko",96,4,96,2,512,2,8,3,452,0.8182,0.8182,0.6429,0.72
0.0001,8,"species,ko",96,4,96,2,512,2,8,3,472,0.4747,1.0,0.55,0.7097
0.0001,8,"species,ko",96,4,96,2,512,2,8,3,all,0.7232(0.01656),0.8182(0.016526),0.6814(0.006849),0.7317(0.002085)
0.0001,16,"species,ko",96,4,96,2,512,2,8,3,392,0.7172,0.5455,0.6667,0.6
0.0001,16,"species,ko",96,4,96,2,512,2,8,3,412,0.798,1.0,0.55,0.7097
0.0001,16,"species,ko",96,4,96,2,512,2,8,3,432,0.7576,0.9091,0.6667,0.7692
0.0001,16,"species,ko",96,4,96,2,512,2,8,3,452,0.8182,0.8182,0.75,0.7826
0.0001,16,"species,ko",96,4,96,2,512,2,8,3,472,0.4343,0.9091,0.5263,0.6667
0.0001,16,"species,ko",96,4,96,2,512,2,8,3,all,0.7051(0.019531),0.8364(0.024458),0.6319(0.006846),0.7056(0.004531)
