fold,lr,batch_size,feature,n_blocks,seed,AUC,Recall,Precision,F1,ACC
1,0.0001,8,species,4,777,0.8687,0.1818,1.0,0.3077,
2,0.0001,8,species,4,777,0.7778,0.0,0.0,0.0,
3,0.0001,8,species,4,777,0.5051,0.0909,1.0,0.1667,
4,0.0001,8,species,4,777,0.7677,0.0,0.0,0.0,
5,0.0001,8,species,4,777,0.8182,0.3636,0.8,0.5,
all,0.0001,8,species,4,777,0.7475(0.1263),0.1273(0.1360),0.5600(0.4630),0.1949(0.1911),
1,0.0001,8,species,4,392,0.5556,0.6364,0.6364,0.6364,0.6
2,0.0001,8,species,4,412,0.5859,1.0,0.55,0.7097,0.55
3,0.0001,8,species,4,432,0.6162,1.0,0.55,0.7097,0.55
4,0.0001,8,species,4,452,0.7677,0.3636,1.0,0.5333,0.65
5,0.0001,8,species,4,472,0.6667,0.7273,0.5714,0.64,0.55
all,0.0001,8,species,4,all,0.6384(0.0831),0.7455(0.2682),0.6616(0.1925),0.6458(0.0724),0.5800(0.0447)
