fold,lr,batch_size,feature,n_blocks,AUC,ACC,Recall,Precision,F1
1,0.001,16,species,1,0.6364,0.6,0.6364,0.6364,0.6364
2,0.001,16,species,1,0.8409,0.7895,1.0,0.7333,0.8462
3,0.001,16,species,1,0.7727,0.8421,1.0,0.7857,0.88
4,0.001,16,species,1,0.7556,0.5789,0.9,0.5625,0.6923
5,0.001,16,species,1,0.6778,0.6316,0.9,0.6,0.72
all,0.001,16,species,1,0.7367 ± 0.0722,0.6884 ± 0.1067,0.8873 ± 0.1332,0.6636 ± 0.0834,0.7550 ± 0.0929
1,0.0001,16,species,1,0.6869,0.5,0.1818,0.6667,0.2857
2,0.0001,16,species,1,0.8864,0.7895,0.7273,0.8889,0.8
3,0.0001,16,species,1,0.7045,0.7368,0.8182,0.75,0.7826
4,0.0001,16,species,1,0.6889,0.6316,1.0,0.5882,0.7407
5,0.0001,16,species,1,0.7333,0.5789,0.6,0.6,0.6
all,0.0001,16,species,1,0.7400 ± 0.0751,0.6474 ± 0.1047,0.6655 ± 0.2747,0.6988 ± 0.1112,0.6418 ± 0.1914
1,0.001,8,species,1,0.6566,0.6,0.6364,0.6364,0.6364
2,0.001,8,species,1,0.7386,0.5789,1.0,0.5789,0.7333
3,0.001,8,species,1,0.7841,0.7895,1.0,0.7333,0.8462
4,0.001,8,species,1,0.7333,0.6316,0.9,0.6,0.72
5,0.001,8,species,1,0.7111,0.6316,0.9,0.6,0.72
all,0.001,8,species,1,0.7247 ± 0.0415,0.6463 ± 0.0743,0.8873 ± 0.1332,0.6297 ± 0.0550,0.7312 ± 0.0670
1,1e-05,8,species,1,0.2727,0.55,1.0,0.55,0.7097
2,1e-05,8,species,1,0.625,0.5789,1.0,0.5789,0.7333
3,1e-05,8,species,1,0.5682,0.4737,0.4545,0.5556,0.5
4,1e-05,8,species,1,0.4889,0.5263,0.7,0.5385,0.6087
5,1e-05,8,species,1,0.6,0.6316,0.4,0.8,0.5333
all,1e-05,8,species,1,0.5110 ± 0.1276,0.5521 ± 0.0526,0.7109 ± 0.2568,0.6046 ± 0.0986,0.6170 ± 0.0926
1,0.0001,8,species,2,0.6667,0.6,0.7273,0.6154,0.6667
2,0.0001,8,species,2,0.5909,0.6316,0.9091,0.625,0.7407
3,0.0001,8,species,2,0.5795,0.5789,0.4545,0.7143,0.5556
4,0.0001,8,species,2,0.8111,0.7368,0.7,0.7778,0.7368
5,0.0001,8,species,2,0.6778,0.5263,0.8,0.5333,0.64
all,0.0001,8,species,2,0.6652 ± 0.0828,0.6147 ± 0.0700,0.7182 ± 0.1504,0.6532 ± 0.0847,0.6680 ± 0.0685
