fold,lr,batch_size,feature,model_type,n_blocks,AUC,ACC,Recall,Precision,F1
1,0.0001,16,species,FT_transformer,1,0.7677,0.55,0.2727,0.75,0.4
2,0.0001,16,species,FT_transformer,1,0.8295,0.7368,0.7273,0.8,0.7619
3,0.0001,16,species,FT_transformer,1,0.7386,0.7368,0.6364,0.875,0.7368
4,0.0001,16,species,FT_transformer,1,0.6222,0.5263,0.9,0.5294,0.6667
5,0.0001,16,species,FT_transformer,1,0.6667,0.5789,0.7,0.5833,0.6364
all,0.0001,16,species,FT_transformer,1,0.7249 ± 0.0733,0.6258 ± 0.0922,0.6473 ± 0.2066,0.7075 ± 0.1308,0.6404 ± 0.1285
1,0.0001,8,species,FT_transformer,1,0.697,0.55,0.3636,0.6667,0.4706
2,0.0001,8,species,FT_transformer,1,0.8636,0.8421,0.9091,0.8333,0.8696
3,0.0001,8,species,FT_transformer,1,0.7159,0.6842,0.5455,0.8571,0.6667
4,0.0001,8,species,FT_transformer,1,0.6333,0.6316,0.8,0.6154,0.6957
5,0.0001,8,species,FT_transformer,1,0.6222,0.6842,0.7,0.7,0.7
all,0.0001,8,species,FT_transformer,1,0.7064 ± 0.0864,0.6784 ± 0.0954,0.6636 ± 0.1919,0.7345 ± 0.0946,0.6805 ± 0.1270
1,0.001,8,species,FT_transformer,1,0.697,0.55,0.1818,1.0,0.3077
2,0.001,8,species,FT_transformer,1,0.7841,0.6316,1.0,0.6111,0.7586
3,0.001,8,species,FT_transformer,1,0.7727,0.6842,1.0,0.6471,0.7857
4,0.001,8,species,FT_transformer,1,0.7778,0.6316,0.9,0.6,0.72
5,0.001,8,species,FT_transformer,1,0.7333,0.6316,0.8,0.6154,0.6957
all,0.001,8,species,FT_transformer,1,0.7530 ± 0.0331,0.6258 ± 0.0430,0.7764 ± 0.3064,0.6947 ± 0.1534,0.6535 ± 0.1757
1,0.001,16,species,FT_transformer,1,0.7374,0.55,0.2727,0.75,0.4
2,0.001,16,species,FT_transformer,1,0.7614,0.6316,1.0,0.6111,0.7586
3,0.001,16,species,FT_transformer,1,0.8523,0.7368,0.9091,0.7143,0.8
4,0.001,16,species,FT_transformer,1,0.5222,0.5789,1.0,0.5556,0.7143
5,0.001,16,species,FT_transformer,1,0.7778,0.6842,0.9,0.6429,0.75
all,0.001,16,species,FT_transformer,1,0.7302 ± 0.1109,0.6363 ± 0.0681,0.8164 ± 0.2752,0.6548 ± 0.0700,0.6846 ± 0.1449
