fold,lr,batch_size,feature,n_blocks,fusion_layer,num_bottleneck,proj_dim,gat_dim,gat_heads,gat_dropout,finetune_mbt,seed,AUC,Recall,Precision,F1
1,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,False,777,0.7879,0.8182,0.8182,0.8182
2,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,False,777,0.8889,0.6364,0.875,0.7368
3,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,False,777,0.8889,1.0,0.55,0.7097
4,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,False,777,0.9495,0.6364,1.0,0.7778
5,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,False,777,0.8485,0.9091,0.9091,0.9091
all,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,False,777,0.8727(0.0533),0.8000(0.1454),0.8305(0.1521),0.7903(0.0699)
1,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,True,777,0.8283,0.5455,1.0,0.7059
2,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,True,777,0.899,0.9091,0.8333,0.8696
3,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,True,777,0.9596,0.8182,0.9,0.8571
4,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,True,777,0.8485,0.8182,0.75,0.7826
5,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,True,777,0.899,0.9091,0.8333,0.8696
all,0.0001,8,"ko,species",4,2,4,128,128,4,0.1,True,777,0.8869(0.0458),0.8000(0.1336),0.8633(0.0833),0.8170(0.0643)
1,0.0001,8,"ko,species",4,2,4,128,64,4,0.2,True,777,0.7879,0.5455,1.0,0.7059
2,0.0001,8,"ko,species",4,2,4,128,64,4,0.2,True,777,0.9192,0.0,0.0,0.0
3,0.0001,8,"ko,species",4,2,4,128,64,4,0.2,True,777,0.8283,0.2727,1.0,0.4286
4,0.0001,8,"ko,species",4,2,4,128,64,4,0.2,True,777,0.899,0.9091,0.7692,0.8333
5,0.0001,8,"ko,species",4,2,4,128,64,4,0.2,True,777,0.9596,1.0,0.55,0.7097
all,0.0001,8,"ko,species",4,2,4,128,64,4,0.2,True,777,0.8788(0.0623),0.5455(0.3770),0.6638(0.3717),0.5355(0.2987)
1,0.0001,8,"ko,species",4,2,4,128,64,4,0.1,True,777,0.6869,0.5455,1.0,0.7059
2,0.0001,8,"ko,species",4,2,4,128,64,4,0.1,True,777,0.9192,0.0,0.0,0.0
3,0.0001,8,"ko,species",4,2,4,128,64,4,0.1,True,777,0.8889,0.4545,1.0,0.625
4,0.0001,8,"ko,species",4,2,4,128,64,4,0.1,True,777,0.8384,0.5455,0.8571,0.6667
5,0.0001,8,"ko,species",4,2,4,128,64,4,0.1,True,777,0.899,0.9091,0.8333,0.8696
all,0.0001,8,"ko,species",4,2,4,128,64,4,0.1,True,777,0.8465(0.0841),0.4909(0.2909),0.7381(0.3756),0.5734(0.2985)
1,0.0001,8,"ko,species",4,2,4,256,128,4,0.1,True,777,0.9192,1.0,0.55,0.7097
2,0.0001,8,"ko,species",4,2,4,256,128,4,0.1,True,777,0.9192,1.0,0.55,0.7097
3,0.0001,8,"ko,species",4,2,4,256,128,4,0.1,True,777,0.9192,0.8182,0.75,0.7826
4,0.0001,8,"ko,species",4,2,4,256,128,4,0.1,True,777,0.8889,0.7273,0.8889,0.8
5,0.0001,8,"ko,species",4,2,4,256,128,4,0.1,True,777,0.9394,0.9091,0.7143,0.8
all,0.0001,8,"ko,species",4,2,4,256,128,4,0.1,True,777,0.9172(0.0162),0.8909(0.1060),0.6906(0.1288),0.7604(0.0419)
