fold,lr,batch_size,feature,n_blocks,fusion_layer,num_bottleneck,lmf_hidden_dim,lmf_output_dim,lmf_rank,lmf_dropout,use_lmf_subnet,gat_dim,gat_dropout,finetune_mbt,seed,AUC,Recall,Precision,F1
1,0.0001,8,"species,ko",3,2,4,256,256,8,0.2,True,256,0.2,False,777,0.8182,1.0,0.55,0.7097
2,0.0001,8,"species,ko",3,2,4,256,256,8,0.2,True,256,0.2,False,777,0.8081,0.0,0.0,0.0
3,0.0001,8,"species,ko",3,2,4,256,256,8,0.2,True,256,0.2,False,777,0.8283,0.0,0.0,0.0
4,0.0001,8,"species,ko",3,2,4,256,256,8,0.2,True,256,0.2,False,777,0.8788,0.9091,0.8333,0.8696
5,0.0001,8,"species,ko",3,2,4,256,256,8,0.2,True,256,0.2,False,777,0.8788,0.9091,0.8333,0.8696
all,0.0001,8,"species,ko",3,2,4,256,256,8,0.2,True,256,0.2,False,777,0.8424(0.0304),0.5636(0.4614),0.4433(0.3765),0.4898(0.4041)
1,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,128,0.1,False,777,0.9192,0.0,0.0,0.0
2,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,128,0.1,False,777,0.9596,1.0,0.55,0.7097
3,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,128,0.1,False,777,0.7071,0.0,0.0,0.0
4,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,128,0.1,False,777,0.8586,0.0,0.0,0.0
5,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,128,0.1,False,777,0.8586,1.0,0.55,0.7097
all,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,128,0.1,False,777,0.8606(0.0858),0.4000(0.4899),0.2200(0.2694),0.2839(0.3477)
1,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,128,0.1,True,777,0.9394,0.0,0.0,0.0
2,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,128,0.1,True,777,0.9091,0.9091,0.9091,0.9091
3,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,128,0.1,True,777,0.7576,0.5455,1.0,0.7059
4,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,128,0.1,True,777,0.8485,1.0,0.6471,0.7857
5,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,128,0.1,True,777,0.8889,1.0,0.55,0.7097
all,0.0001,8,"species,ko",3,2,4,128,256,8,0.1,True,128,0.1,True,777,0.8687(0.0629),0.6909(0.3840),0.6212(0.3516),0.6221(0.3196)
1,0.0001,8,"species,ko",4,2,4,256,256,4,0.1,True,256,0.1,True,777,0.7576,0.1818,1.0,0.3077
2,0.0001,8,"species,ko",4,2,4,256,256,4,0.1,True,256,0.1,True,777,0.9394,0.0,0.0,0.0
3,0.0001,8,"species,ko",4,2,4,256,256,4,0.1,True,256,0.1,True,777,0.8283,0.9091,0.625,0.7407
4,0.0001,8,"species,ko",4,2,4,256,256,4,0.1,True,256,0.1,True,777,0.9091,0.9091,0.8333,0.8696
5,0.0001,8,"species,ko",4,2,4,256,256,4,0.1,True,256,0.1,True,777,0.9394,0.1818,1.0,0.3077
all,0.0001,8,"species,ko",4,2,4,256,256,4,0.1,True,256,0.1,True,777,0.8748(0.0713),0.4364(0.3917),0.6917(0.3723),0.4451(0.3173)
1,0.0001,8,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.8081,0.5455,0.8571,0.6667
2,0.0001,8,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.9192,0.9091,0.8333,0.8696
3,0.0001,8,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.8586,0.7273,1.0,0.8421
4,0.0001,8,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.7879,0.6364,0.875,0.7368
5,0.0001,8,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.9293,0.9091,0.7692,0.8333
all,0.0001,8,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.8606(0.0569),0.7455(0.1454),0.8669(0.0756),0.7897(0.0761)
1,0.0001,16,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.8889,1.0,0.55,0.7097
2,0.0001,16,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.9495,1.0,0.55,0.7097
3,0.0001,16,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.8485,0.5455,0.75,0.6316
4,0.0001,16,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.8485,0.7273,0.8889,0.8
5,0.0001,16,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.9697,0.9091,0.8333,0.8696
all,0.0001,16,"ko,species",4,2,4,128,256,4,0.1,True,256,0.1,True,777,0.9010(0.0505),0.8364(0.1763),0.7144(0.1414),0.7441(0.0823)
