fold,lr,batch_size,feature,n_blocks,fusion_layer,num_bottleneck,use_cross_atn,seed,AUC,ACC,Recall,Precision,F1
1,0.0001,8,"species,ko",4,2,4,False,392,0.6263,0.65,0.5455,0.75,0.6316
2,0.0001,8,"species,ko",4,2,4,False,412,0.8283,0.65,1.0,0.6111,0.7586
3,0.0001,8,"species,ko",4,2,4,False,432,0.798,0.75,1.0,0.6875,0.8148
4,0.0001,8,"species,ko",4,2,4,False,452,0.8485,0.75,0.8182,0.75,0.7826
5,0.0001,8,"species,ko",4,2,4,False,472,0.7172,0.7,0.6364,0.7778,0.7
all,0.0001,8,"species,ko",4,2,4,False,all,0.7637(0.0916),0.7,0.8000(0.2073),0.7153(0.0670),0.7375(0.0726)
1,0.0001,8,"species,ko",2,2,4,False,392,0.5758,0.7,0.6364,0.7778,0.7
2,0.0001,8,"species,ko",2,2,4,False,412,0.798,0.7,0.9091,0.6667,0.7692
3,0.0001,8,"species,ko",2,2,4,False,432,0.7374,0.75,1.0,0.6875,0.8148
4,0.0001,8,"species,ko",2,2,4,False,452,0.8485,0.75,0.8182,0.75,0.7826
5,0.0001,8,"species,ko",2,2,4,False,472,0.8384,0.75,0.8182,0.75,0.7826
all,0.0001,8,"species,ko",2,2,4,False,all,0.7596(0.1116),0.75,0.8364(0.1348),0.7264(0.0470),0.7698(0.0425)
1,0.0001,8,"species,ko",2,2,4,False,42,0.8485,0.55,1.0,0.55,0.7097
2,0.0001,8,"species,ko",2,2,4,False,777,0.9192,0.6,1.0,0.5789,0.7333
