fold,lr,batch_size,feature,AUC,ACC,Recall,Precision,F1
1,0.0001,8,"ko,species",0.6667,0.5,0.6667,0.5714,0.6154
2,0.0001,8,"ko,species",0.6667,0.7,0.5,1.0,0.6667
3,0.0001,8,"ko,species",0.75,0.7,0.6667,0.8,0.7273
4,0.0001,8,"ko,species",0.84,0.7,1.0,0.625,0.7692
5,0.0001,8,"ko,species",1.0,0.7,1.0,0.625,0.7692
6,0.0001,8,"ko,species",0.76,0.7,0.6,0.75,0.6667
7,0.0001,8,"ko,species",0.85,0.7778,1.0,0.7143,0.8333
8,0.0001,8,"ko,species",0.65,0.6667,0.8,0.6667,0.7273
9,0.0001,8,"ko,species",0.65,0.6667,0.8,0.6667,0.7273
10,0.0001,8,"ko,species",0.6,0.6667,0.8,0.6667,0.7273
all,0.0001,8,"ko,species",0.7433 ± 0.1169,0.6778 ± 0.0667,0.7833 ± 0.1682,0.7086 ± 0.1154,0.7230 ± 0.0587
