fold,lr,batch_size,feature,n_layers,num_bottleneck,use_bottleneck,btn_init,use_cross_atn,AUC,ACC,Recall,Precision,F1
1,0.001,16,"ko,species",1,2,True,embed,True,0.5152,0.55,0.3636,0.6667,0.4706
2,0.001,16,"ko,species",1,2,True,embed,True,0.8068,0.7368,0.9091,0.7143,0.8
3,0.001,16,"ko,species",1,2,True,embed,True,0.7955,0.6316,0.8182,0.6429,0.72
4,0.001,16,"ko,species",1,2,True,embed,True,0.6333,0.5789,0.6,0.6,0.6
5,0.001,16,"ko,species",1,2,True,embed,True,0.8667,0.7368,0.9,0.6923,0.7826
all,0.001,16,"ko,species",1,2,True,embed,True,0.7235 ± 0.1297,0.6468 ± 0.0780,0.7182 ± 0.2094,0.6632 ± 0.0397,0.6746 ± 0.1238
1,0.001,8,"ko,species",1,4,True,uniform,False,0.6162,0.6,0.6364,0.6364,0.6364
2,0.001,8,"ko,species",1,4,True,uniform,False,0.8977,0.7368,0.6364,0.875,0.7368
3,0.001,8,"ko,species",1,4,True,uniform,False,0.7614,0.7368,0.7273,0.8,0.7619
4,0.001,8,"ko,species",1,4,True,uniform,False,0.7222,0.6316,0.8,0.6154,0.6957
5,0.001,8,"ko,species",1,4,True,uniform,False,0.8222,0.6316,0.6,0.6667,0.6316
all,0.001,8,"ko,species",1,4,True,uniform,False,0.7639 ± 0.0947,0.6674 ± 0.0579,0.6800 ± 0.0733,0.7187 ± 0.1012,0.6925 ± 0.0522
1,0.001,8,"ko,species",1,2,True,uniform,False,0.6263,0.6,0.6364,0.6364,0.6364
2,0.001,8,"ko,species",1,2,True,uniform,False,0.9205,0.8421,0.8182,0.9,0.8571
3,0.001,8,"ko,species",1,2,True,uniform,False,0.8409,0.6842,0.5455,0.8571,0.6667
4,0.001,8,"ko,species",1,2,True,uniform,False,0.7333,0.5789,0.8,0.5714,0.6667
5,0.001,8,"ko,species",1,2,True,uniform,False,0.7778,0.6316,0.6,0.6667,0.6316
all,0.001,8,"ko,species",1,2,True,uniform,False,0.7798 ± 0.0993,0.6674 ± 0.0943,0.6800 ± 0.1094,0.7263 ± 0.1288,0.6917 ± 0.0840
1,0.001,8,"ko,species",1,2,True,embed,False,0.7374,0.65,0.6364,0.7,0.6667
2,0.001,8,"ko,species",1,2,True,embed,False,0.8977,0.7895,0.7273,0.8889,0.8
3,0.001,8,"ko,species",1,2,True,embed,False,0.7614,0.6842,0.7273,0.7273,0.7273
4,0.001,8,"ko,species",1,2,True,embed,False,0.6778,0.5789,0.8,0.5714,0.6667
5,0.001,8,"ko,species",1,2,True,embed,False,0.7111,0.6316,0.6,0.6667,0.6316
all,0.001,8,"ko,species",1,2,True,embed,False,0.7571 ± 0.0756,0.6668 ± 0.0702,0.6982 ± 0.0714,0.7109 ± 0.1034,0.6985 ± 0.0594
1,0.0001,8,"ko,species",1,2,True,embed,False,0.6061,0.55,0.8182,0.5625,0.6667
2,0.0001,8,"ko,species",1,2,True,embed,False,0.8523,0.7895,0.6364,1.0,0.7778
3,0.0001,8,"ko,species",1,2,True,embed,False,0.8977,0.7895,0.7273,0.8889,0.8
4,0.0001,8,"ko,species",1,2,True,embed,False,0.7,0.6842,0.8,0.6667,0.7273
5,0.0001,8,"ko,species",1,2,True,embed,False,0.6556,0.5789,0.6,0.6,0.6
all,0.0001,8,"ko,species",1,2,True,embed,False,0.7423 ± 0.1132,0.6784 ± 0.1011,0.7164 ± 0.0865,0.7436 ± 0.1710,0.7144 ± 0.0733
1,0.0001,8,"ko,species",2,4,True,embed,True,0.5152,0.55,0.4545,0.625,0.5263
2,0.0001,8,"ko,species",2,4,True,embed,True,0.7841,0.6842,0.9091,0.6667,0.7692
3,0.0001,8,"ko,species",2,4,True,embed,True,0.875,0.8421,0.8182,0.9,0.8571
4,0.0001,8,"ko,species",2,4,True,embed,True,0.8333,0.7895,1.0,0.7143,0.8333
5,0.0001,8,"ko,species",2,4,True,embed,True,0.7778,0.8421,0.8,0.8889,0.8421
all,0.0001,8,"ko,species",2,4,True,embed,True,0.7571 ± 0.1260,0.7416 ± 0.1118,0.7964 ± 0.1852,0.7590 ± 0.1142,0.7656 ± 0.1234
