fold,lr,batch_size,feature,n_layers,num_bottleneck,use_bottleneck,btn_init,use_cross_atn,AUC,ACC,Recall,Precision,F1
1,0.0001,16,"ko,species",2,4,True,embed,True,0.5758,0.55,0.5455,0.6,0.5714
2,0.0001,16,"ko,species",2,4,True,embed,True,0.8409,0.6842,0.7273,0.7273,0.7273
3,0.0001,16,"ko,species",2,4,True,embed,True,0.8864,0.7895,0.9091,0.7692,0.8333
4,0.0001,16,"ko,species",2,4,True,embed,True,0.6333,0.6842,0.8,0.6667,0.7273
5,0.0001,16,"ko,species",2,4,True,embed,True,0.7444,0.6842,0.6,0.75,0.6667
all,0.0001,16,"ko,species",2,4,True,embed,True,0.7362 ± 0.1182,0.6784 ± 0.0761,0.7164 ± 0.1319,0.7026 ± 0.0618,0.7052 ± 0.0858
1,0.0001,8,"ko,species",1,4,True,embed,True,0.6162,0.6,0.5455,0.6667,0.6
2,0.0001,8,"ko,species",1,4,True,embed,True,0.75,0.5789,0.7273,0.6154,0.6667
3,0.0001,8,"ko,species",1,4,True,embed,True,0.8977,0.7895,0.7273,0.8889,0.8
4,0.0001,8,"ko,species",1,4,True,embed,True,0.6889,0.6316,0.7,0.6364,0.6667
5,0.0001,8,"ko,species",1,4,True,embed,True,0.7889,0.6842,1.0,0.625,0.7692
all,0.0001,8,"ko,species",1,4,True,embed,True,0.7483 ± 0.0948,0.6568 ± 0.0752,0.7400 ± 0.1465,0.6865 ± 0.1027,0.7005 ± 0.0735
1,0.001,8,"ko,species",1,4,True,embed,True,0.5859,0.6,0.5455,0.6667,0.6
2,0.001,8,"ko,species",1,4,True,embed,True,0.7955,0.7368,0.9091,0.7143,0.8
3,0.001,8,"ko,species",1,4,True,embed,True,0.8977,0.7895,0.8182,0.8182,0.8182
4,0.001,8,"ko,species",1,4,True,embed,True,0.7667,0.6842,0.7,0.7,0.7
5,0.001,8,"ko,species",1,4,True,embed,True,0.8111,0.6842,0.8,0.6667,0.7273
all,0.001,8,"ko,species",1,4,True,embed,True,0.7714 ± 0.1025,0.6989 ± 0.0630,0.7546 ± 0.1238,0.7132 ± 0.0557,0.7291 ± 0.0781
1,0.001,16,"ko,species",2,4,True,embed,True,0.596,0.6,0.6364,0.6364,0.6364
2,0.001,16,"ko,species",2,4,True,embed,True,0.75,0.7368,0.9091,0.7143,0.8
3,0.001,16,"ko,species",2,4,True,embed,True,0.8864,0.6842,1.0,0.6471,0.7857
4,0.001,16,"ko,species",2,4,True,embed,True,0.7222,0.7368,0.9,0.6923,0.7826
5,0.001,16,"ko,species",2,4,True,embed,True,0.7111,0.7368,0.9,0.6923,0.7826
all,0.001,16,"ko,species",2,4,True,embed,True,0.7331 ± 0.0929,0.6989 ± 0.0535,0.8691 ± 0.1223,0.6765 ± 0.0297,0.7575 ± 0.0609
