fold,lr,batch_size,feature,d_token,AUC,ACC,Recall,Precision,F1
1,0.0001,16,species,64,0.5859,0.45,0.0909,0.5,0.1538
2,0.0001,16,species,64,0.6591,0.6316,0.4545,0.8333,0.5882
3,0.0001,16,species,64,0.8295,0.5789,0.6364,0.6364,0.6364
4,0.0001,16,species,64,0.6333,0.6842,0.6,0.75,0.6667
5,0.0001,16,species,64,0.6222,0.4211,0.8,0.4706,0.5926
all,0.0001,16,species,64,0.6660 ± 0.0851,0.5532 ± 0.1020,0.5164 ± 0.2395,0.6381 ± 0.1398,0.5275 ± 0.1891
1,0.0001,16,ko,64,0.5354,0.6,0.4545,0.7143,0.5556
2,0.0001,16,ko,64,0.6818,0.7368,0.7273,0.8,0.7619
3,0.0001,16,ko,64,0.9773,1.0,1.0,1.0,1.0
4,0.0001,16,ko,64,0.7778,0.6316,0.7,0.6364,0.6667
5,0.0001,16,ko,64,0.7333,0.5789,0.5,0.625,0.5556
all,0.0001,16,ko,64,0.7411 ± 0.1435,0.7095 ± 0.1551,0.6764 ± 0.1940,0.7551 ± 0.1376,0.7080 ± 0.1651
