seed,lr,batch_size,feature,d_token,norm_method,AUC,ACC,Recall,Precision,F1
392,0.0001,16,species,32,tss_rank_std,0.8330400000000001,0.7505200000000001,0.7382,0.8020400000000001,0.7662599999999999
412,0.0001,16,species,32,tss_rank_std,0.81932,0.75052,0.7545399999999999,0.79294,0.7649
432,0.0001,16,species,32,tss_rank_std,0.7835000000000001,0.6773600000000001,0.64002,0.7488,0.67628
all,0.0001,16,species,32,tss_rank_std,0.8120 ± 0.0209,0.7261 ± 0.0345,0.7109 ± 0.0506,0.7813 ± 0.0233,0.7358 ± 0.0421
392,0.0001,16,ko,32,tss_rank_std,0.7043999999999999,0.6663,0.6600199999999999,0.73132,0.6881999999999999
412,0.0001,16,ko,32,tss_rank_std,0.63142,0.6568400000000001,0.6800200000000001,0.70384,0.6824000000000001
432,0.0001,16,ko,32,tss_rank_std,0.70118,0.6352599999999999,0.62546,0.69092,0.6447
all,0.0001,16,ko,32,tss_rank_std,0.6790 ± 0.0337,0.6528 ± 0.0130,0.6552 ± 0.0225,0.7087 ± 0.0168,0.6718 ± 0.0193
392,0.0001,16,ko,64,adaptive_feature,0.72338,0.6458000000000002,0.6491,0.71832,0.65942
412,0.0001,16,ko,64,adaptive_feature,0.6787400000000001,0.6358,0.7000200000000001,0.66908,0.6739200000000001
432,0.0001,16,ko,64,adaptive_feature,0.7689,0.6668200000000001,0.66184,0.74056,0.69008
all,0.0001,16,ko,64,adaptive_feature,0.7237 ± 0.0368,0.6495 ± 0.0129,0.6703 ± 0.0216,0.7093 ± 0.0299,0.6745 ± 0.0125
392,0.0001,16,ko,32,adaptive_feature,0.76778,0.7179000000000001,0.7382,0.7599600000000001,0.74148
412,0.0001,16,ko,32,adaptive_feature,0.69248,0.68788,0.66184,0.7634599999999999,0.7009399999999999
432,0.0001,16,ko,32,adaptive_feature,0.73314,0.6784,0.68,0.7190399999999999,0.69506
all,0.0001,16,ko,32,adaptive_feature,0.7311 ± 0.0308,0.6947 ± 0.0168,0.6933 ± 0.0326,0.7475 ± 0.0202,0.7125 ± 0.0206
