fold,lr,batch_size,feature,d_token,AUC,ACC,Recall,Precision,F1
1,0.0001,16,species,64,0.8182,0.4,0.0,0.0,0.0
2,0.0001,16,species,64,0.7273,0.5263,0.9091,0.5556,0.6897
3,0.0001,16,species,64,0.8977,0.5263,0.6364,0.5833,0.6087
4,0.0001,16,species,64,0.6667,0.5789,0.8,0.5714,0.6667
5,0.0001,16,species,64,0.8111,0.6842,0.8,0.6667,0.7273
all,0.0001,16,species,64,0.7842 ± 0.0798,0.5431 ± 0.0919,0.6291 ± 0.3264,0.4754 ± 0.2408,0.5385 ± 0.2720
1,0.0001,8,species,64,0.6364,0.5,0.2727,0.6,0.375
2,0.0001,8,species,64,0.75,0.5789,0.7273,0.6154,0.6667
3,0.0001,8,species,64,0.7727,0.4737,0.3636,0.5714,0.4444
4,0.0001,8,species,64,0.8556,0.6316,0.8,0.6154,0.6957
5,0.0001,8,species,64,0.7444,0.6316,0.8,0.6154,0.6957
all,0.0001,8,species,64,0.7518 ± 0.0701,0.5632 ± 0.0657,0.5927 ± 0.2276,0.6035 ± 0.0171,0.5755 ± 0.1376
1,0.0001,16,ko,64,0.4848,0.45,0.1818,0.5,0.2667
2,0.0001,16,ko,64,0.7841,0.6842,0.7273,0.7273,0.7273
3,0.0001,16,ko,64,0.8636,0.8947,0.8182,1.0,0.9
4,0.0001,16,ko,64,0.7111,0.5789,0.6,0.6,0.6
5,0.0001,16,ko,64,0.8,0.6316,0.4,0.8,0.5333
all,0.0001,16,ko,64,0.7287 ± 0.1313,0.6479 ± 0.1459,0.5455 ± 0.2297,0.7255 ± 0.1718,0.6055 ± 0.2105
