seed,lr,batch_size,feature,d_token,n_query,num_bottleneck,n_enhance_layers,n_fusion_layers,mask_ratio,lambda_recon,AUC,ACC,Recall,Precision,F1
392,0.0001,8,"ko,species",32,8,4,1,2,0.15,0.5,0.66676,0.59368,0.66548,0.6431600000000001,0.6433600000000002
412,0.0001,8,"ko,species",32,8,4,1,2,0.15,0.5,0.69496,0.6779,0.66184,0.7466800000000001,0.6947000000000001
432,0.0001,8,"ko,species",32,8,4,1,2,0.15,0.5,0.7156399999999999,0.58368,0.51818,0.74478,0.5412
all,0.0001,8,"ko,species",32,8,4,1,2,0.15,0.5,0.6925 ± 0.0200,0.6184 ± 0.0423,0.6152 ± 0.0686,0.7115 ± 0.0484,0.6264 ± 0.0638
392,0.0001,8,"ko,species",32,8,4,1,2,0.01,0.05,0.7381800000000001,0.65682,0.6836399999999999,0.7014400000000001,0.6798200000000001
412,0.0001,8,"ko,species",32,8,4,1,2,0.01,0.05,0.71006,0.6779,0.6800200000000001,0.72446,0.6991400000000001
432,0.0001,8,"ko,species",32,8,4,1,2,0.01,0.05,0.7398,0.6773600000000001,0.7382,0.70712,0.71422
all,0.0001,8,"ko,species",32,8,4,1,2,0.01,0.05,0.7293 ± 0.0137,0.6707 ± 0.0098,0.7006 ± 0.0266,0.7110 ± 0.0098,0.6977 ± 0.0141
392,0.0001,16,"ko,species",64,8,4,1,2,0.01,0.05,0.7244,0.61418,0.6291,0.65584,0.63116
412,0.0001,16,"ko,species",64,8,4,1,2,0.01,0.05,0.70198,0.65684,0.64184,0.7270399999999999,0.67532
432,0.0001,16,"ko,species",64,8,4,1,2,0.01,0.05,0.7031,0.6247400000000001,0.6800200000000001,0.6688000000000001,0.66524
all,0.0001,16,"ko,species",64,8,4,1,2,0.01,0.05,0.7098 ± 0.0103,0.6319 ± 0.0181,0.6503 ± 0.0216,0.6839 ± 0.0310,0.6572 ± 0.0189
392,0.0001,16,"ko,species",32,4,4,1,2,0.01,0.05,0.7578600000000001,0.6984199999999999,0.7182000000000001,0.73586,0.7242599999999999
412,0.0001,16,"ko,species",32,4,4,1,2,0.01,0.05,0.6295999999999999,0.58418,0.7491000000000001,0.61066,0.65576
432,0.0001,16,"ko,species",32,4,4,1,2,0.01,0.05,0.73546,0.68788,0.7745599999999999,0.7091,0.73204
all,0.0001,16,"ko,species",32,4,4,1,2,0.01,0.05,0.7076 ± 0.0559,0.6568 ± 0.0515,0.7473 ± 0.0230,0.6852 ± 0.0538,0.7040 ± 0.0343
392,0.0001,16,"ko,species",32,16,4,1,2,0.01,0.05,0.67278,0.6773399999999999,0.81092,0.70424,0.7380199999999999
412,0.0001,16,"ko,species",32,16,4,1,2,0.01,0.05,0.70866,0.66788,0.64546,0.74556,0.67072
432,0.0001,16,"ko,species",32,16,4,1,2,0.01,0.05,0.68234,0.62578,0.64364,0.7311,0.6244799999999999
all,0.0001,16,"ko,species",32,16,4,1,2,0.01,0.05,0.6879 ± 0.0152,0.6570 ± 0.0224,0.7000 ± 0.0784,0.7270 ± 0.0171,0.6777 ± 0.0466
392,0.0001,16,"ko,species",32,8,4,1,2,0.01,0.05,0.72338,0.67788,0.70002,0.7288,0.7072200000000001
412,0.0001,16,"ko,species",32,8,4,1,2,0.01,0.05,0.72532,0.65684,0.64366,0.71112,0.6742800000000001
432,0.0001,16,"ko,species",32,8,4,1,2,0.01,0.05,0.73434,0.64576,0.77274,0.66208,0.70486
all,0.0001,16,"ko,species",32,8,4,1,2,0.01,0.05,0.7277 ± 0.0048,0.6602 ± 0.0133,0.7055 ± 0.0528,0.7007 ± 0.0282,0.6955 ± 0.0150
