seed,lr,batch_size,feature,d_token,AUC,ACC,Recall,Precision,F1
392,0.0001,16,species,32,0.83676,0.7289399999999999,0.7909200000000001,0.75064,0.76626
412,0.0001,16,species,32,0.89714,0.7826200000000001,0.81092,0.8104799999999999,0.8039999999999999
432,0.0001,16,species,32,0.84914,0.7715799999999999,0.8181999999999998,0.7821400000000001,0.79532
all,0.0001,16,species,32,0.8610 ± 0.0260,0.7610 ± 0.0231,0.8067 ± 0.0115,0.7811 ± 0.0244,0.7885 ± 0.0161
392,0.0001,16,ko,32,0.7590399999999999,0.69842,0.6818199999999999,0.7559400000000001,0.70706
412,0.0001,16,ko,32,0.7185,0.67734,0.7345600000000001,0.72418,0.70874
432,0.0001,16,ko,32,0.77754,0.7189399999999999,0.70002,0.785,0.73464
all,0.0001,16,ko,32,0.7517 ± 0.0247,0.6982 ± 0.0170,0.7055 ± 0.0219,0.7550 ± 0.0248,0.7168 ± 0.0126
392,0.0001,16,species,64,0.8342600000000001,0.76156,0.77638,0.79486,0.7800800000000001
412,0.0001,16,species,64,0.8837400000000001,0.80368,0.77274,0.8685600000000001,0.8084199999999999
432,0.0001,16,species,64,0.86364,0.7921,0.81274,0.82334,0.81526
all,0.0001,16,species,64,0.8605 ± 0.0203,0.7858 ± 0.0178,0.7873 ± 0.0181,0.8289 ± 0.0303,0.8013 ± 0.0152
