fold,lr,batch_size,feature,n_blocks,AUC,ACC,Recall,Precision,F1
1,0.0001,8,species,2,1.0,0.9583,0.9167,1.0,0.9565
2,0.0001,8,species,2,0.8819,0.8333,0.75,0.9,0.8182
3,0.0001,8,species,2,0.9242,0.913,0.9091,0.9091,0.9091
4,0.0001,8,species,2,0.9697,0.8696,0.8182,0.9,0.8571
5,0.0001,8,species,2,0.8409,0.6957,0.5833,0.7778,0.6667
6,0.0001,8,species,2,0.9242,0.8696,1.0,0.8,0.8889
7,0.0001,8,species,2,0.8939,0.8696,0.8333,0.9091,0.8696
8,0.0001,8,species,2,0.9924,0.9565,0.9167,1.0,0.9565
9,0.0001,8,species,2,0.9697,0.913,0.8333,1.0,0.9091
10,0.0001,8,species,2,0.9394,0.8696,0.75,1.0,0.8571
all,0.0001,8,species,2,0.9336 ± 0.0485,0.8748 ± 0.0710,0.8311 ± 0.1114,0.9196 ± 0.0783,0.8689 ± 0.0792
