fold,lr,batch_size,feature,n_layers,num_bottleneck,use_bottleneck,btn_init,use_cross_atn,AUC,ACC,Recall,Precision,F1
1,0.0001,8,"ko,species",2,4,True,embed,True,0.9094,0.7447,0.9583,0.6765,0.7931
2,0.0001,8,"ko,species",2,4,True,embed,True,0.7373,0.7234,0.75,0.72,0.7347
3,0.0001,8,"ko,species",2,4,True,embed,True,0.9017,0.7826,0.7391,0.8095,0.7727
4,0.0001,8,"ko,species",2,4,True,embed,True,0.8677,0.8478,0.7826,0.9,0.8372
5,0.0001,8,"ko,species",2,4,True,embed,True,0.928,0.8261,0.75,0.9,0.8182
all,0.0001,8,"ko,species",2,4,True,embed,True,0.8688 ± 0.0686,0.7849 ± 0.0470,0.7960 ± 0.0825,0.8012 ± 0.0914,0.7912 ± 0.0357
1,0.001,16,"ko,species",2,8,True,embed,True,0.7301,0.6596,0.7083,0.6538,0.68
2,0.001,16,"ko,species",2,8,True,embed,True,0.8895,0.7872,0.8333,0.7692,0.8
3,0.001,16,"ko,species",2,8,True,embed,True,0.7902,0.7174,0.8261,0.6786,0.7451
4,0.001,16,"ko,species",2,8,True,embed,True,0.5671,0.5217,0.3043,0.5385,0.3889
5,0.001,16,"ko,species",2,8,True,embed,True,0.839,0.6522,0.5417,0.7222,0.619
all,0.001,16,"ko,species",2,8,True,embed,True,0.7632 ± 0.1113,0.6676 ± 0.0876,0.6427 ± 0.1995,0.6725 ± 0.0777,0.6466 ± 0.1425
1,0.001,16,"ko,species",1,2,True,embed,True,0.9149,0.8511,0.875,0.84,0.8571
2,0.001,16,"ko,species",1,2,True,embed,True,0.8931,0.7872,0.8333,0.7692,0.8
3,0.001,16,"ko,species",1,2,True,embed,True,0.9074,0.8043,0.8261,0.7917,0.8085
4,0.001,16,"ko,species",1,2,True,embed,True,0.7902,0.6739,0.7391,0.6538,0.6939
5,0.001,16,"ko,species",1,2,True,embed,True,0.9659,0.9348,0.9167,0.9565,0.9362
all,0.001,16,"ko,species",1,2,True,embed,True,0.8943 ± 0.0576,0.8103 ± 0.0853,0.8380 ± 0.0592,0.8022 ± 0.0984,0.8191 ± 0.0791
1,0.001,8,"ko,species",1,2,True,embed,True,0.8786,0.7872,0.6667,0.8889,0.7619
2,0.001,8,"ko,species",1,2,True,embed,True,0.9149,0.8511,0.8333,0.8696,0.8511
3,0.001,8,"ko,species",1,2,True,embed,True,0.8866,0.8261,0.9565,0.7586,0.8462
4,0.001,8,"ko,species",1,2,True,embed,True,0.8166,0.7609,0.6957,0.8,0.7442
5,0.001,8,"ko,species",1,2,True,embed,True,0.858,0.7609,0.5417,1.0,0.7027
all,0.001,8,"ko,species",1,2,True,embed,True,0.8709 ± 0.0327,0.7972 ± 0.0360,0.7388 ± 0.1430,0.8634 ± 0.0829,0.7812 ± 0.0583
