fold,lr,batch_size,feature,d_token,AUC,ACC,Recall,Precision,F1
1,0.0001,8,species,64,0.8822,0.8298,0.875,0.8077,0.84
2,0.0001,8,species,64,0.9149,0.8511,0.9167,0.8148,0.8627
3,0.0001,8,species,64,0.9622,0.8696,0.913,0.84,0.875
4,0.0001,8,species,64,0.9168,0.913,0.8696,0.9524,0.9091
5,0.0001,8,species,64,0.983,0.8913,0.7917,1.0,0.8837
all,0.0001,8,species,64,0.9318 ± 0.0361,0.8710 ± 0.0292,0.8732 ± 0.0450,0.8830 ± 0.0783,0.8741 ± 0.0229
1,0.0001,16,species,64,0.9167,0.8723,0.875,0.875,0.875
2,0.0001,16,species,64,0.9366,0.8298,0.8333,0.8333,0.8333
3,0.0001,16,species,64,0.9168,0.8478,0.8696,0.8333,0.8511
4,0.0001,16,species,64,0.9244,0.8478,0.7391,0.9444,0.8293
5,0.0001,16,species,64,0.928,0.8696,0.7917,0.95,0.8636
all,0.0001,16,species,64,0.9245 ± 0.0075,0.8535 ± 0.0157,0.8217 ± 0.0510,0.8872 ± 0.0513,0.8505 ± 0.0174
